artist,song,release_date_for_display,language,stats,release_date_components,full_title,song_id,lyrics
Cro,Steht Mir,"February 10, 2023",de,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 7573}","{'year': 2023, 'month': 2, 'day': 10}",Steht Mir by CRO,8800819,"4 ContributorsSteht Mir Lyrics

Wir war'n immer zu zweit, nie allein
Ich weiß nicht, was du tust
Es ist vorbei, war nicht leicht
Doch ey yo, es geht mir gut
Ist ganz normal, mir fast schon egal
Wenn ich euch seh', ich bleib' cool (Bleib' cool)
Denn dass du nicht hier bist, Baby, steht mir so gut (Yeah, ah)

Ey, ich weiß noch genau
„Wir beide sind 'n Team und ich bleib' deine Frau“
Ey, ja, genau, Mann, du bleibst meine Frau
Was 'n Quatsch, denn auf einma' war es einfach so aus
Denn sie sagt, dass es leider nicht klappt
Vorbei übеr Nacht, hätte keiner gеdacht
Du hast es dir ma' wieder leicht gemacht
Doch weißt du was? Ich scheiß' drauf und schreib' dir das
Denn du hast recht, wir haben keine Liebe bekomm'n
Und außer diesem Streit nicht mehr viel unternomm'n
Wir beide sind längst am Ziel angekomm'n
Ein allerletzter Blick und ich fliege davon
Und plötzlich fühle ich mich frei wie der Wind
Kann endlich wieder seh'n, ich war drei Jahre blind
Und ich fühl' mich so gut, denn ich weiß, ich gewinn'
Denn ich kann dich vergessen, doch du weißt, wo ich bin (Wo ich bin)
You might also like
Wir war'n immer zu zweit, nie allein
Ich weiß nicht, was du tust
Es ist vorbei, war nicht leicht
Doch ey yo, es geht mir gut
Ist ganz normal, mir fast schon egal
Wenn ich euch seh', ich bleib' cool (Bleib' cool)
Denn dass du nicht hier bist, Baby, steht mir so gut (So gut, so gut)

Yeah
Ah, yeah

Jetzt hab' ich endlich wieder Platz im Bett
Und werd' nicht geweckt, wenn sich Schatz erschreckt
Und wenn ich will, hätt ich fast nur Sex
Denn ich lauf' durch die Stadt mit dem AXE-Effekt
Will, dass du weißt, es tut nicht mehr weh
Du hast 'n neuen Lover, ist für mich okay
Und nie wieder Sixx oder Twilight schau'n
Nie wieder nur gefetzt und allein nach Haus
Kein Diskutier'n, ob sich unser Nenner teilt
Ich 'ne Stunde länger bleib', sie sich wundert, wo ich bleib'
Und mir dann den ganzen Abend pro Sekunde dreimal schreibt
Ich brauch' gar nicht mehr zu komm'n, ey yo, was 'n dummer Scheiß
Es macht echt keine Lust
Jetzt bin ich frei und kann tun, was ich will, mit 'nem S auf der Brust
Bin fast erstickt, doch jetzt krieg' ich Luft
Dass es so gut riecht, hätt ich echt nicht gewusst (Nicht gewusst)
Wir war'n immer zu zweit, nie allein
Ich weiß nicht, was du tust
Es ist vorbei, war nicht leicht
Doch ey yo, es geht mir gut
Ist ganz normal, mir fast schon egal
Wenn ich euch seh', ich bleib' cool (Bleib' cool)
Denn dass du nicht hier bist, Baby, steht mir so gut (So gut, so gut)

Ich verbrenn' alle Kissen
Und deine Fotos sind längst schon zerrissen
Doch sie schreibt mir, sie wird mich vermissen
Und ich schreib' zurück: „Mir geht's wirklich beschissen“ (Fuck)Embed"
Cro,Sie,"February 10, 2023",de,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 10957}","{'year': 2023, 'month': 2, 'day': 10}",Sie by CRO,8122053,"7 ContributorsSie Lyrics

(What it is)
(Yeah)
Yeah

Du warst immer down, wenn man dich fragt
Ohne Make-up, A+, ready to ride
Auf 'ner Skala bis zehn eine Seventy-Five
Nein, du magst kein'n Moët, du hast Henny im Glas, yeah (Ey)
Und Baby, du bist top on the list
Bist lieber hier als irgendwo im Club mit den Chicks
Kein V.I.P., viel zu real für den Shit
Ein Blick reicht und jeder verliebt sich in dich (Hihi)
Du bist topnotch mit den Chucks in Beige (Yeah)
White Top, Million-Dollar-Gesicht
Gehst mir nicht ausm Kopf, deine Skinny Jeans
Trägst die Haare zu 'nem Zopf, aber irgendwie sweet
Und ich bin wieder mal alleine und schreibe bis in die Nacht
Und such' die einfachsten Reime, doch nichts klappt (Yeah)
Verlier' den einzigen Freund zwischen Stars und Babes
Seitdem du weg bist, fühl' ich mich wie Cast Away (Yeah)
Hoff', du wartest, Babe, ey
You might also like
Ich seh' in all'n andern immer nur sie (Yeah)
Brauch' kein Weed, ich bin immer noch high von ihr
Wenn wir fall'n, dann zusamm'n so wie Bonnie und Clyde
Und egal, was kommt, ich lass' dich nie mehr allein, mh-mh, mh

Und wir war'n ein Team, wer braucht schon Gold und Platin?
Das war nie geplant, nein, der Plan war sie
Und es war mehr als Love
Das Lächeln einer Lady, doch die Seele eines Dawgs
Und wenn sie im Tanktop mit sexy Back kocht
Erinnert die Independence 'n bisschen an Kate Moss
Oh damn, die kleinste Gang dieser Welt, bang-bang
Und weil ich bei ihr nicht CRO bin, ist sie Fan (Yeah)
Sie wertet mich auf
Und wenn du's noch nicht weißt, bitte merk dir genau
Hinter jedem Gewinner steht immer 'ne stärkere Frau
Mit mehr Herz, mehr Balls, so gewährt der Applaus
Bei den Shows nur ihr, ich lieg' wach bis um vier
Und ich denk' an die Nacht am Klavier
Ich vermiss' das Wir und auch, wenn ich es probier'
Werd' ich mich in irgendwelchen andern Frau'n nie wieder so verlier'n wie in ihr, denn

Ich seh' in all'n andern (Ey) immer nur sie (Yeah)
Brauch' kein Weed, ich bin immer noch high von ihr
Wenn wir fall'n, dann zusamm'n so wie Bonnie und Clyde
Und egal, was kommt, ich lass' dich nie mehr allein, mh-mh, mh
Ich seh' in all'n andern immer nur sie (Yeah)
Brauch' kein Weed, ich bin immer noch high von ihr
Wenn wir fall'n, dann zusamm'n so wie Bonnie und Clyde
Und egal, was kommt, ich lass' dich nie mehr allein, mh-mh, mh
I know you're living in L.A. (I know you're living in L.A.)
But baby, you are based in my heart (Baby, you are based in my heart)
Oh, you can run away (Oh, you can run away)
But I will always chase your love (I will always chase your love)Embed"
Cro,AMAZING,"August 12, 2022",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 8, 'day': 12}",AMAZING by CRO,8142707,"4 ContributorsAMAZING Lyrics

Ich sitz' auf der Couch und ich schau' dir nur zu, ah, ey
Baby, du bist amazing, yeah
Du bist amazing, yeah
Ich lieb', was du sagst und die Dinge, die du tust, ja, Babe
Du bist amazing, yeah
Du bist amazing, yeah
Und Baby, jedes Mal, wenn du kurz smilst, bin ich high
Oh, smilst, bin ich high, yeah
Ja, denn Baby, jedes Mal, wenn du kurz smilst, bin ich high
Und denk', „Wow“, bist so leicht
Weil ich weiß, du bist eins mit mir
Ich verschwend' so gerne Zeit mit dir
Deine Mädels wollen sein wie wir, ey, ey (Yeah-yeah-yeah, oh-ah)
Oh-da, bam, ja
Liegen immеr noch im Bett, ey
Komm, Baby, erzähl von dir
Dеnn deine Stimme ist Sex, ey
Baby, ich schweb' mit dir (Hey)
Mach' die Augen zu
Es tut mir leid, Baby, ich will mehr von dir
Komm her zu mir (Komm her zu—)
Also lass uns tun
Und wir chill'n auf Wolke sieben allein
You might also like
Oh Baby, und wir machen Love tonight
Du bist meine Drug, so high
Sind bei Runde zwei, we fly
Stars gon' shine tonight
Komm, wir machen Love tonight
Du bist meine Drug, so high
Sind bei Runde zwei, we fly
Stars gon' shine

Uhh-uh, ah
Uhh-ah-ah-ah-ah
Uhh-ah-ah-ah-ah, ah-ah-ah-ahEmbed"
Cro,11: (Doppelpunkt),"August 12, 2022",de,"{'unreviewed_annotations': 1, 'hot': False}","{'year': 2022, 'month': 8, 'day': 12}",11: (Doppelpunkt) by CRO,8142710,"7 Contributors11: (Doppelpunkt) Lyrics

Hör nicht zu, wenn jemand sagt, „Aus dir muss endlich was werden“
Du bist längst genug und auch nicht mehr mit Benz oder Pferden
Mein Leben lang versucht, unendlich zu werden
Doch wozu ständig gewinn'n, wenn sogar Champions sterben?
Und trotzdem lieg' ich wach in Hotels mit mehr Stern'n
Als die Nacht und ich hab' wirklich keine Lust drauf heimzugeh'n
Doch manchmal für 'n Augenblick bleibt sie steh'n
Elf Uhr elf, oh, ich wünscht, ich könnt die Zeit umdreh'n
Umdreh'n, oh yeah, umdreh'n
Mh, mh-mh, mh, mh, mhh
Yeah

Es ist eleven-eleven, meine Hand ist am erden, Kopf ist im Heaven
Ich fühl' mich wie Kevin, ich weiß, ist alles gut, yeah
Es ist eleven-eleven, ich schicke Praises in' Heaven
Und zähle die Blessings, ich weiß, ist alles gut

Doch manchmal wiegt ein Gedanke noch mehr als eine Tonne
Mein Kopf dreht sich im Kreis wie die Erde um die Sonne
Und ich frag' mich, wo ich bin und woher ich eigentlich komme
Manchmal wär ich gern ehrlich, so ehrlich wie 'ne Nonne
Und ich hab' Fragen, deren Antworten nur Gott weiß, Gott weiß
Keiner dieser Erde kennt mich besser als mein Bock-Mic
Sorry, Babe, man kann nicht immer top sein
Ich bin im Studio und suche wieder Top-Lines
Ich hab' hunderttausend Fragen und mein Kopf schreit
What's life? Nur Gott weiß
You might also like
I'm up here to say thank you
To God for giving me this ability
For blessing me
For shaping me
For chastising me
For teaching me
For punishing me
I would not—Embed"
Cro,FENSTER,"August 12, 2022",de,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 5785}","{'year': 2022, 'month': 8, 'day': 12}",FENSTER by CRO,8142723,"10 ContributorsFENSTER Lyrics

‌‌Babe, ich weiß genau
Wenn die Welt morgen hochgeht, wär ich mit dir down
Und wann immer du mal denkst, du
Hältst es nicht mehr aus
Bin ich da und lass' ein Fenster für dich auf
Oh, du hast keine Ahnung

Du bist allein in der Stadt, mh
Draußen geht die Welt unter
Berlin im Winter ist grau, ey
Ich mach' deine Welt bunter
Du kannst mir vertrau'n, Babe, yeah
Aber wart nicht auf 'n Weltwunder
Du kennst das Spiel, komm, lass dich fallen, yeah
Guck, die Lichtеr, sie schein'n für dich
Ich hab' viel zu tun, doch hab' Zеit für dich, Babe
Weißt du eigentlich, wie nice du bist in dei'm
Kleid in weiß, Baby, wine für mich
Ist kein Problem für mich, Babe, du bist safe für mich, Shawty, yeah
Kauf' dir alles, was du willst von Dior, du bist safe, dafür sorg' ich, yeah, yeah

Denn Babe, ich weiß genau
Wenn die Welt morgen hochgeht, wär ich mit dir down
Und wann immer du mal denkst, du
Hältst es nicht mehr aus
Bin ich da und lass' ein Fenster für dich auf
Oh, du hast keine Ahnung
You might also like
No, no, no, no-no, no, no, du hast keine Ahnung
Yeah
Yeah

Egal, ob VIP-Lounge oder mit dir Backseat
Du bist tipptopp, Baby, bitte, merk dir, dass ich
Mitkomm', ganz egal, was abgeht
Feiern mittwochs, bis die ganze Stadt bebt, Baby
Wir tun, was immer du willst
Geh'n hin, wo immer du willst
Baby, wir bau'n uns ein Universum
Ich bin so leicht, immer wenn du näher kommst
Also trau dich, Bae, du bist unglaublich
Ich will, dass die ganze Welt weiß, dass du meine Frau bist, ja
Weil du gut drauf bist und versaut bist
Weil du eigentlich genau bist, wie ich auch bin

Oh Babe, ich weiß genau
Wenn die Welt morgen hochgeht, wär ich mit dir down
Und wann immer du mal denkst, du
Hältst es nicht mehr aus
Bin ich da und lass' ein Fenster für dich auf
Oh, du hast keine Ahnung
‌Babe, ich weiß genau (Mh-mh, yeah, ich weiß genau, Babe)
Wenn die Welt morgen hochgeht (Yeah), wär ich mit dir down (Eh-eh, so down, so down, Baby, hehe, ey)
Und wann immer du mal denkst, du
Hältst es nicht mehr aus (Und immer wenn du denkst, du hältst es nicht aus)
Bin ich da und lass' ein Fenster für dich auf (Ey)
Du hast keine Ahnung (Mh-mh)2Embed"
Cro,HEY LOVE,"August 12, 2022",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 8, 'day': 12}",HEY LOVE by CRO,8142697,"4 ContributorsHEY LOVE Lyrics

Dollars flattern im Fahrtwind
Im Cabrio Richtung Lagos
Warte ma', ich kenn' dein'n Nam'n nicht mal
Meine Augen laufen durchs Slalom
Wavy, du machst mich crazy, yeah
Für dich hol' ich den Mond vom Himmel, ja
Sag, was kostet die Welt in Million'n?
Baby, komm, wir machen Drive-by-Love
Und verteil'n im Vorbeifahr'n Hugs
Rosarote Brille aufm Beifahrersitz
Sag mir, was bringt mir 'ne Uhr, wenn man die Zeit vergisst?
Die Spur verlier'n im weißen Sand, ja
Nur mit dir und leicht verkatert
Du bist hier mein Apartment
Bist du in love?

Hey, Love
Hey, Love
Hey, Love
Yeah-yeah
Hey, Love
Hey, Love
Hey, Love
You might also like
Ich hab' Eis im Cup
Tanz' mit dir, weil der Vibe grad passt
Schau mich nicht so an, ich werd' weich, wenn du lachst
Kingsize-Bett und ich bleib' mit dir wach, ahh
Ich flieg' an die Wand, bin verliebt
Baby, denn mit dir ist alles Mango und Peach
Du machst so easy aus Hamburg Paris
Und auf der ganzen Welt ist keine andre wie sie
Du machst mich crazy, oh Baby, ja
Sag, was kostet die Welt in Million'n?
Baby, nimm meine Hand und lass nie mehr los
Die Spur verlier'n im weißen Sand, ja
Du und ich allein, ich mag das
Ruf mich an, wenn du mich brauchst, ja
Ich glaub', ich bin love

Hey, Love (Ja)
Hey, Love
Hey, Love
Yeah-yeah
Hey, Love
Hey, Love
Hey, Love
Da, wo du bist
Bin da, wo du bist, da, wo du bist
Da, wo du bist
Da, wo du bist
Ich bin da, wo du bist, da, wo du bist
Da, wo du bistEmbed"
Cro,LIEBER NICHT,"August 12, 2022",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 8, 'day': 12}",LIEBER NICHT by CRO,8142711,"5 ContributorsLIEBER NICHT Lyrics

Pretty Face, sie spielt mit Sex-Appeal
Bin mir sicher, Babe ist 'n Sinner-Babe, for real
Nah, ich bin kein Freund von dei'm Film
Doch wenn ich will, lass ich's brenn'n wie du
Wie du, ja
Wie du
Wie du, jaa

Und wieso schreibst du mir nachts? Ah-ah
Sag mir, weiß dein Freund eigentlich, was du da machst? Ah-ah, yeah
Und deshalb schreib' ich dir kühl
Es wär mir eigentlich egal
Hätt ich nicht grade das Gefühl
Dass das zwischen uns beiden etwas war
Ich kenn' neunundneunzig— (Ah)
Doch die eine ist mein Problem
Hab' gewusst, du hast 'n Rad ab
Fand ich anfangs eigentlich schön
Ich weiß, ich bin nicht leicht, doch mach's mir einfach
Bitte geh, ist so einfach zu versteh'n
Bitte bypass dein Gerede, ja, ja, ja, ja
So viel Blubber-Blubber, bitte, ne, ne, ne
Komm, hier ist ein Uber, bitte geh, geh, geh
Bitte lösch die Nummer von dei'm iPhone X (Get of my dick, bitch, woo)
You might also like
Du verdienst meine Liebe nicht (Und ich spür' die Liebe nicht)
Late Night, FaceTime, spiel deine Spiele, Bitch
Doch du verdienst meine Liebe nicht
Denn alles um mich herum schreit mich an und sagt mir: „Lieber nicht“
Lieber nicht, lieber nicht, lieber nicht (Ah-ah, ah-ah)
Du verdienst meine Liebe nicht (Ah-ah, ah, ah-ah)
Lieber nicht (Ah-ah), lieber nicht (Ah-ah), lieber nicht (Ah-ah)
Lieber nicht (Ah-ah), lieber nicht (Nah-ah), lieber nicht (Ah-ah), lieber nicht

Yeah, Baby
Ich bin mir sicher, du weißt ganz genau, wer gemeint ist
Vielleicht sieht man sich irgendwann wieder
Aber ich glaub' eher nicht, PeaceEmbed"
Cro,11,"August 12, 2022",en,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 5456}","{'year': 2022, 'month': 8, 'day': 12}",11 by CRO,8282111,"7 Contributors11 Lyrics

Be alive, it's small mind
It discussed other people
Got some—
Good mind, discuss events
Great mind, discuss ideas

Sie hat 'n Job, Freitag bis Freitag
Und sie schreibt, dass sie keine Zeit hat
Jeder hat zwei Leben und das zweite beginnt
Wenn du merkst, dass du eigentlich nur eins hast
Du hast immer nur für andre verdient
Doch du träumst von strahlend weißem Sand an 'nem Beach
Doch bis heut kam immer noch kein Mann, der dich liebt
Bist gefang'n in Berlin, zieh dich an und wir flieh'n, ah, ja
Und Bae, nimm deine Mädels ruhig mit
Wir sind im Tunnel, geben Gas, fahr'n gegen das Licht
Früher war ich broke, heute tank' ich Premium Sprit
Komm' nach Haus, meine Ma sieht das Budget und erschrickt
Und ganz egal, was du dir wünscht, Babe, ich regel's für dich
Der ganze Raum voller Girls, doch ich seh' hier nur dich (Yeah)
Jeden Tag tun, worauf du Bock hast (Mhh)
Bisschen Schampus, bisschen Lobster
Sie liebt wie 'ne Frau, aber fickt wie 'n Rockstar
Sieht aus wie'n Movie, Baby, du verdienst 'n Oscar
Yeah, yeah, bitte mach's noch mal (Mach's noch mal), yeah, yeah
You might also like
Du willst Richtung Blau
Nimm mich mit, wohin du gehst, ey
Ich kann dir vertrau'n
Ist dein Blick, der dich verrät, ey
Denn du schaust mich manchmal an
Als gäb es keinen andern Mann
Und ich weiß, du bist zu gut
Ich ging weit, ich hab' gesucht
Es war keine so wie du, yeah, mh

Ich frag' sie: „Hast du Bock 'ne Runde in 'nem Porsche zu dreh'n?“
Wir fahr'n so weit weg, bis die Sorgen vergeh'n
Und ihre blauen Augen funkeln wie die Champs-Élysées
Denn wir beide fliegen hoch wie das Jordan-Emblem
Vom Hotel zum Benz, wir boarden um zehn
Champagne, Snacks und noch 'n Filet
Deine Blicke sprechen Bände, wenn die Worte ma' fehl'n
Und wenn du dich nach Wärme sehnst, könn'n wir morgen schon geh'n
Ist kein Problem, yeah, schreib, was du willst
Egal, was es ist, ich besorg' es für dich
X-Mansion und die Vibes sind verrückt
Unter Palmen merkt man alles, doch die Zeit eher nicht
Und du hast hunderttausend Likes aufn Pic
Alle deine Girls werden neidisch auf dich
Und jeden Tag ist eleven-eleven, also Babe, make a wish
Oh, du willst Richtung Blau
Nimm mich mit, wohin du gehst, ey
Ich kann dir vertrau'n
Ist dein Blick, der dich verrät, ey
Denn du schaust mich manchmal an
Als gäb es keinen andern Mann

Yeah
Oh-hoh
Ey, ey, ey, yeah
Mh-mh, mh, mh-mh, mh
Ah-ah, ah, ah-ah, ah
Ah-ah, ah, ah-ah, ahEmbed"
Cro,FACETIME LUV,"August 12, 2022",de,"{'unreviewed_annotations': 1, 'hot': False}","{'year': 2022, 'month': 8, 'day': 12}",FACETIME LUV by CRO,8142701,"9 ContributorsFACETIME LUV Lyrics

Wir sind gefang'n in den Bytes
Du gehst nicht ran, denn du weißt
Die Distanz ist zu weit
Doch Babe, ich kann mich nicht teil'n
Aber du kriegst 'n Like von mir
Bist du grad am Handy, bin ich nüchtern (Ah, ey)
Bist du ready oder schüchtern? (Yeah)
Bae, ich schwör' dir, ich bin süchtig nach dei'm Post auf Insta
Call mich auf der 0-6-3

Ich will keine FaceTime-Love (Uh-uh, uh-uh)
FaceTime-Love (Uh-uh)
FaceTime-Love (Uh-uh, uh-uh)
FaceTime-Love (Oh Baby)

Du sagst, du vermisst mich, ich vermiss' mich auch
Ich seh' nur zwei Striche auf mei'm Display drauf
Du brauchst nur ein bisschen, nur ein bisschen Love
Will dich FaceTim'n, Babe, doch dein Gesicht ist taub
Oh Baby, ich brech' Herzen durch die Kamera
Schick' 'n Selfie, oh, ich häng' hier grad in Panama
Sippe irgendwas mit Ananas
Fiebe Schilme, Baby, vámonos, mh-ja
You might also like
Ich will keine FaceTime-Love (Uh-uh, uh-uh)
FaceTime-Love (Uh-uh)
FaceTime-Love (Uh-uh, uh-uh)
FaceTime-Love (Oh Baby)

Ta-tausend Bilder auf Ekstase
Blaue Pillen aus der Matrix
Rauche viel, wenn du nicht da bist
Laufe nur noch automatisch
Augen tief, Augen glasig
Macht mich unsympathisch (Oh-oh, oh-oh, oh)

Du willst mich vergessen, ja, das will ich auch
Was man will, ist meistens nicht das, was man braucht
Es war nur ein kleiner Unfall zwischen uns
Ich will Good Times, doch seh' nur Einsen und Null'n

Ich will keine FaceTime-Love (Uh-uh, uh-uh)
FaceTime-Love (Uh-uh)
FaceTime-Love (Uh-uh, uh-uh)
FaceTime-Love (Oh Baby)Embed"
Cro,FEELINGS,"August 12, 2022",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 8, 'day': 12}",FEELINGS by CRO,8142714,"4 ContributorsFEELINGS Lyrics

Samstag Night
Poppen Schampus und Pill'n aufm Rücksitz
Yeah, yeah, yeah, yeah, yeah, yeah
Alles scheint (Uh-uh-uh)
Ich würd nichts anders machen, wenn ich zurückblick'
Yeah, yeah
Ich glaub', ich bin auf der falschen Party, Bae, andere Timezone
Ich bin hier irgendwo in Bali, du irgendwo in meinem iPhone
Und ich seh' wieder bunte Farben, Bae, ist mir egal, wann ich heimkomm'
Und ey, ich will dich strahlen seh'n, ey, yeah, das ist dein Song

Du bist nicht allein mit dеinen Feelings (Uh-uh, uh-uh-uh)
Komm, wir sind zu zweit allein, ich fühl' dich grad so sеhr
Wenn du ma' nicht weiter weißt, ich führ' dich (Uh-uh, uh-uh-uh)
Du bist nicht allein mit deinen Feelings, Babe, ey-yeah, ey-yeah

Und Baby, komm einfach rüber, Baby
Lass dich treiben von dem Beat
Ey, ey, ey-yeah, yeah, yeah, yeah
Zeig mir deine Flügel, Baby
Und ich zeig' dir, wie man fliegt
Ey-yeah, ey-yeah
Manchmal high und manchmal low, low, low, low, low, low, low
Alles nice, so lang wir ro-o-o-o-o-o-o-oll'n
Zu viel Fragen in mei'm Pho-o-o-o-o-o-o-one
Doch ich bin da, wenn du mich brauchst, ja-ja-ja-ja
You might also like
Du bist nicht allein mit deinen Feelings (Uh-uh, uh-uh-uh)
Komm, wir sind zu zweit allein, ich fühl' dich grad so sehr
Wenn du ma' nicht weiter weißt, ich führ' dich (Uh-uh, uh-uh-uh)
Du bist nicht allein mit deinen Feelings, Babe, ey-yeah, ey-yeah1Embed"
