artist,song,release_date_for_display,language,stats,release_date_components,full_title,song_id,lyrics
Tokio Hotel,Hungover You,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Hungover You by Tokio Hotel,8215123,"4 ContributorsHungover You Lyrics
Hey, you
What's up? It’s been a while
We haven't had the talk
And we went on with life
Reflecting on myself
And what went wrong with us
When we made love, it felt like Venus hittin' Mars
Saw you on Instagram
Well, you look all cute
You’re still the one with the best body in Hollywood
Oh no, I didn't lie
I loved you very much
I know you've moved on with your new friends, doin' better now, but

It's all good, it's all good, it's all good, yeah

(It's all good, it’s all good, it’s all good, yeah) Hungover you
(It's all good, it’s all good, it's all good, yeah) Hungover you
(It's all good, it's all good, it’s all good, yeah) Hungover you
Hungovеr you

Today, I feel hungover you
You might also like
Hey, you
I'm in my car outside
Listеnin' to the songs that keep us up all night
Sometimes I ask myself why shit went wrong with us
When we made love, it felt like Venus (Oh my) hittin' Mars
Some days, I'm scared too loose
Guess I'm not that cool
But life is good on the West Coast in Hollywood
Not gonna lie to you
I miss you very much
But hope you moved on, you got new friends, doin' better now, but

(It's all good, it's all good, it's all good, yeah) Hungover you
(It's all good, it's all good, it's all good, yeah) Hungover you
(It's all good, it's all good, it's all good, yeah) Hungover you
(I'm so hungover you) Hungover you

Babe
Today, I'm so hungover you
But babe
I was never really meant for you
Babe
Today, I'm so hungover you (It's all good, it's all good, it's all good, yeah)
But babe
I was never really meant for you
Hungover you
Hungover you
I'm so hungover youEmbed"
Tokio Hotel,Back To The Ocean,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Back To The Ocean by Tokio Hotel,8215129,"4 ContributorsBack To The Ocean Lyrics
Feels like my head's underwater
Wakin' up by the bay
For a while you've been colder
Somehow, you drifted away
Whenever we were together
We lost count of the days
Promised whatever weather you'd stay
But I guess we grew up, now you're a hundred thousand miles away

Since you've been gone, babe, I am stuck in the middle
Walk on the edge of the most dangerous ways
If I could turn back time just a little
I'd bring us back, take us home, hold your hand and drive you all the way
To the ocean, (Back) to the ocean
(Back) to the ocean, (Back) to the ocean
To the ocean, (Back) to the ocean
(Back) to the ocean, to the ocean

Starry eyes in my hallway
Of my California home
Hey, I know we are broken, but I
Would still like to try
I would walk a hundred thousand miles
You might also like
Since you've been gone, babe, I am stuck in the middle
Walk on the edge of the most dangerous ways
If I could turn back time just a little
I'd bring us back, take us home, hold your hand and drive you all the way
To the ocean, (Back) to the ocean
(Back) to the ocean, (Back) to the ocean
To the ocean, (Back) to the ocean
(Back) to the ocean, to the ocean
Embed"
Tokio Hotel,Another Lover,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Another Lover by Tokio Hotel,8215128,"4 ContributorsAnother Lover Lyrics
I don't know what I've become
I've been drinkin' 'til the sun comes up
And I'm all messed up about it

Like a magnet, I'm attracted to the bad shit, gotta have it
I don't wanna feel this way no more
I'm a savage, so it's tragic 'cause the habits got me mad sick
No, I don't wanna feel it

I'm a hot mess, baby, but I'm better than this
I got my heart on my sleeve and it's makin' me sick
I'm a hot mess, baby, I should pick up your tricks
But I don't want another lover, -nother lover like this

Lover like this (No more, no more, no more, no more, no more, no more)
So don't stress (No more, no more, no more, no more, no more, no more)
Don't want another lover like this, like this, like this
Don't want another lover like this, like this, like this
Another lover (Lover)
(Lover)

Your eyes put me to the test (Test)
And you kiss so good, need to forget
But my loneliness is killin' me now
You might also like
Like a magnet, I'm attracted to the bad shit, gotta have it
I don't wanna feel this way no more
I'm a savage, so it's tragic 'cause the habits got me mad sick
No, I don't wanna feel it

I'm a hot mess, baby, but I'm better than this
I got my heart on my sleeve and it's makin' me sick
I'm a hot mess, baby, I should pick up your tricks
But I don't want another lover, -nother lover like this

Lover like this (No more, no more, no more, no more, no more, no more)
So don't stress (No more, no more, no more, no more, no more, no more)
Don't want another lover like this, like this, like this
Don't want another lover like this, like this, like this
Another lover
Another lover, oh, yeah

All I ever wanted was someone that's mine
Travel 'round the world and keep me up all night
Make me feel like home, someone that holds me tight
You are not my lover, don't want another lover like this
Don't want another lover like this
Don't want another lover, want another lover like this
(No more, no more, no more, no more, no more, no more)
So don't stress (No more, no more, no more, no more, no more, no more)
Like this
Don't want another lover like this
Don't want another lover, want another loverEmbed"
Tokio Hotel,Dreamer,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Dreamer by Tokio Hotel,8215126,"4 ContributorsDreamer Lyrics
It's in the air, it's on the streets, it's in the newspapers
Blood on our hands, it's on repeat, you just can't escape it
Call up my friends, they already scared, I don't have the answer
Wish I had the answer

When the night gets so lonely, it's hard to forget
I make up a place where the sun always sets
Where people feel love
And live life without threat

I'm just a dreamer
I still believe in bеtter days
Somewherе in the future
No matter what they say
Try to look up, oh, when life pulls you down
I know it is rough when the noise gets too loud
But I see ya
You were a dreamer too

One step at a time, blind leading blind, we gotta pave forward
Erase all the lines what's yours and what's mine, love don't have any borders
Can't win a war you already lost when you pick up a sword
When you pick up a sword
You might also like
When the night gets so lonely, it's hard to forget
I make up a place where the sun always sets
Where people feel love
And live life without threat

I'm just a dreamer
I still believe in better days
Somewhere in the future
No matter what they say
Try to look up, oh, when life pulls you down
I know it is rough when the noise gets too loud
But I see ya
You were a dreamer too


I'm just a dreamer
I still believe in better days
Somewhere in the future
No matter what they say
Try to look up, oh, when life pulls you down
I know it is rough when the noise gets too loud
But I see ya
You were a dreamer too
I'm just a dreamer
No matter what they sayEmbed"
Tokio Hotel,Just A Moment,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Just A Moment by Tokio Hotel (Ft. VVAVES),8215122,"6 ContributorsJust A Moment Lyrics
It's 5AM and all I need is this moment
Life can be so simple when we let it
My house, your hand in mine
Cigarettes, they burn down my defenses
Holdin' on, I hope it's never endin'
But I know you'll go in time

It's just a moment, but I'll hold you 'til it's over
It's just a moment, but I'll be here when it's done

It's just a moment, me and you
But when you leave, you leave too soon
So for this moment, can it be me and you?

Spaced out by your side in my old blankets
We're lost in conversation and the silence
You speak, I speak, we listen

It's just a moment, but I'll hold you 'til it's over
It's just a moment, but I'll be here when it's done
You might also like
It's just a moment, me and you
But when you leave, you leave too soon
So for this moment, can it be me and you?

Ooh-ooh, ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh, ooh-ooh-ooh

Yeah, in this moment, you're back in New York
Oh, in this moment, it's hard to be alone, oh, oh

It's just a moment, me and you
Oh babe, you leave too soon
But in this moment, can it be me and you?
So in this moment, can it be me and you?

Ooh-ooh, ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh, ooh-ooh-ooh1Embed"
Tokio Hotel,Ain’t Happy,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Ain't Happy by Tokio Hotel,8215121,"4 ContributorsAin’t Happy Lyrics
I should love life, but I'm strugglin'
Days passin' by, I don't look at them
Don't leave my house, drown myself in Rosé

They say that I'll be okay
That I will find love one day
Time's on my side, I'm still young
And my heart will survive

But lately, I wish I was high all the time
What have you done to me?
Want all my memories
To fade away
Sometimes, I wish I was you
So I don't feel this pain
Live a more simple life
And stop the rain

All the demons in me
All the colours I can see
Though I wanna be
I ain't happy
You might also like
All the little things become a bigger thing
The guys on TV, they are my best friends
I wanna be free, but I'm caught in my blues

They say that I'll be okay
That I will find love one day
Time's on my side, I'm still young
And my heart will survive

But lately, I wish I was high all the time (High all the time)
What have you done to me? (What have you done to me?)
Want all my memories (Want all my memories)
To fade away (-ay)
Sometimes, I wish I was you (Wish I was you)
So I don't feel this pain (Don't feel this pain)
Live a more simple life (Simple life)
And stop the rain

All the demons in me
All the colours I can see
Though I wanna be
I ain't happy
None of this feels right
And you're laughin' all the time
And my heart won't be okay
I ain't happyEmbed"
Tokio Hotel,Runaway,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Runaway by Tokio Hotel,8215127,"4 ContributorsRunaway Lyrics
Right now, I really need a friend
And days go by like they are all the same
I can't be doin’ this again
My heart is heavy, singin' ""Purple Rain""
They say that you can have it all
It can'r be found here in the shadow hills
All the noise, don’t say no more
Don't wanna feel the way I feel

Lookin' for somethin' I can't have
Lookin' for somethin'

Baby, let me run, run, run
Run towards the sun, sun, sun
Run 'til we become undone
And what I said, and you said
Baby, let me run, run, run
Run towards the sun, sun, sun
Run ’til we become undone
And what I said, and you said

What if I run? Don’t wanna run away
What if I run? I'm just a runaway
You might also like
I can’t help but wonder when
I started feelin' likе I don't belong
I wanna be myself again
A lеgal alien incognito
There is a world behind these walls
I gotta leave you and the shadow hills
You'll never know what can be found
If you keep on standin’ still

Lookin' for somethin' I can't have
Lookin' for somethin'

Baby, let me run, run, run
Run towards the sun, sun, sun
Run 'til we become undone
And what I said, and you said
Baby, let me run, run, run
Run towards the sun, sun, sun
Run 'til we become undone
And what I said, and you said

What if I run? Don't wanna run away
What if I run? I'm just a runaway
I keep on runnin'
I keep on runnin' like I never ran before, oh-oh
And don't keep waitin'
Don't keep waitin' for me, I'm not comin' home
Yeah, once I'm gone

I'm gonna run away
I'm gonna run away
I'm gonna run away
I'm gonna run awayEmbed"
Tokio Hotel,Smells Like Summer,"November 18, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 11, 'day': 18}",Smells Like Summer by Tokio Hotel (Ft. ÁSDÍS),8215124,"5 ContributorsSmells Like Summer Lyrics
Baby, it's the way you move
You leave your mark like a tattoo
The clouds are tinted red and white
What’s underneath those ocean eyes?

Sippin' gin and juice
Under the palm trees by the pool
All night
I'm catchin’ fire (Catchin' fire)

Oh, baby, you smell like summer
You smell like summer
You smell like summer time

Nowhere I'd rather be
You beat the view from the balcony
Kiss tasting like strawberry (Limе), oh-oh
This sweet life is sugar-free
When I got you next to mе
'Cause you are my dopamine (Mine), oh

Baby, let's have rendezvous
And sleep until the afternoon
Stay in bed, smoke weed and cigarettes
With you right by my side, there are no regrets
You might also like
Sippin' gin and juice
Under the palm trees by the pool
All night
I'm catchin' fire (Catchin’ fire)
Oh, baby

Nowhere I’d rather be
You beat the view from the balcony
Kiss tasting like strawberry (Lime), oh-oh
This sweet life is sugar-free
When I got you next to me
'Cause you are my dopamine (Mine), oh
(You smell like summer time)

Round and round, we’re down for whatever
Won't stop now, won't stop 'til forever
Ain’t no doubt there won't be a better (Time)
Round and round, we're down for whatever
Won't stop now, won't stop 'til forever
Ain't no doubt there won't be a better (Time)

Oh, baby, you smell like summer
You smell like summer
You smell like summer time
Nowhere I'd rather be
You beat the view from the balcony
Kiss tasting like strawberry (Lime), oh-oh
This sweet life is sugar-free
When I got you next to me
'Cause you are my dopamine (Mine), ohEmbed"
Tokio Hotel,Happy People,"October 21, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 10, 'day': 21}",Happy People by Tokio Hotel (Ft. Daði Freyr),8215125,"4 ContributorsHappy People Lyrics
Happy people make me sad (Sad)
If happy people look like that (Mad)
Dancin' to the song I hate, your smile looks fake
Makes me wanna stay in bed (Bed)

There’s a party and I hope I'm not invited
Why is everybody always so excited?
Hear them talkin' and it’s heavy on my eyelids
I don't like it, I don't like it

I need somethin' to feel
None of this shit is real
I'd rather disappear
From here

Happy people make me sad (Sad)
If happy peoplе look like that (Mad)
Dancin' to the song I hate, your smilе looks fake
Makes me wanna stay in bed (Bed)
Happy people make me sad (Sad)
If happy people look like that (Mad)
Dancin' to the song I hate, your smile looks fake
Makes me wanna stay in bed (Bed)
You might also like
Happy people make me sad
If happy people look like that

Lookin' around
I see happy people smiling just with the mouth
Doesn’t reach the eyes and so I can’t figure out
Who is this for?
Not me
No, it's not that I’m just super introverted
Also I said somethin', but I don't think you heard it
So full of yourself, you must be thinkin' I’m your sidekick
I don't like it
Who would like that?

I need somethin' to feel
None of this shit is real
I'd rather disappear
From here
'
Happy people make me sad (Sad)
If happy people look like that (Mad)
Dancing to the song I hate, your smile looks fake
Makes me wanna stay in bed (Bed)
Happy people make me sad (Sad)
If happy people look like that (Mad)
Dancin' to the song I hate, your smile looks fake
Makes me wanna stay in bed (Bed)
(Happy people) Happy people make me sad
(Happy people) Happy people make me sadEmbed"
Tokio Hotel,When We Were Younger,"May 27, 2022",en,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 5, 'day': 27}",When We Were Younger by Tokio Hotel,8041812,"4 ContributorsWhen We Were Younger Lyrics
We had the same dreams
No one saw what we could see
We were younger, we were younger
Life in black and white
Became colourful and bright
We were younger, when we were younger
I've been livin' like that
I've been lovin' like that
All I ever wanted was something real and honest

I've been trippin' like that
Sometimes I lost my head
Nothin' that I wanted
(But it had to happen)

'Cause some things never change
We're feelin' out of place
Our hearts still beat the same
From Berlin to L.A.​
The same stars we are under
Like when we were younger
(Like when we were younger)
You might also like
Movin' on and lookin' back
Holdin' on to what we have
And the ocean is between us
I'm lookin' at the sky
As the years are passin' by
Like the colours of the leaves are changin' the streets, and

I've been trippin' like that
Sometimes I lost my head
Nothing that I wanted
(But it had to happen)

'Cause some things never change
We're feelin' out of place
Our hearts still beat the same
From Berlin to L.A.​
The same stars we are under
Like when we were younger
(Like when we were younger)

I'm lookin' at the sky
As the years are passin' by
I'm lookin' at the sky
(Like when we were younger)
'Cause some things never change
We're feelin' out of place
Our hearts still beat the same
From Berlin to L.A.​
The same stars we are under
Like when we were younger
I'm lookin' at the sky (Like when we were younger)
As the years are passin' by, passin' by (Like when we were younger)Embed"
