Artist,Song,Language,Release_Date,Lyrics
Aalemarie,So lang gewartet,"April 14, 2023",de,"1 ContributorSo lang gewartet Lyrics

Wie eine Nacht ohne Sterne so dunkel
Wie ein Gedicht ohne Reim (Ohne Reim)
Fühl'n uns in der Großstadt der Herzen zu oft allein (Zu oft allein)
So wie ein Strand ohne Sand ohne Wellen
So wie ein Bild in Schwarz Weiß
Unsre Seelen war'n fast schon erfroren in ewigen Eis

Ein Blick zum Horizont lass uns die Erde drehen (Oh-oh-oh)
Kannst du die Sonne aufgeh'n sehn?

Wir haben so lang gewartet, haben so sehr vermisst
Dieses Traumtanzgefühl das du niemals mehr vergisst
Wir haben so lang gewartet und an wunder geglaubt
Wenn sie einfach passier'n ist das dass beste überhaupt
Haben so lang gewartet darauf

Plötzlich sind all deine Nächte erleuchtet und jedes Wort Poesie (Poesie)
Leben ist gar nicht so schwer, komm ich zeig dir wie

Ein Blick zum Horizont lass uns die Erde drehen (Oh-oh-oh)
Kannst du die Sonne aufgeh'n sehn?
You might also like
Wir haben so lang gewartet, haben so sehr vermisst
Dieses Traumtanzgefühl das du niemals mehr vergisst
Wir haben so lang gewartet und an wunder geglaubt
Wenn sie einfach passier'n ist das dass beste überhaupt
Haben so lang gewartet darauf
Ohh-oh-oh

Wir haben so lang gewartet, haben so sehr vermisst
Dieses Traumtanzgefühl das du niemals mehr vergisst
Wir haben so lang gewartet und an wunder geglaubt
Wenn sie einfach passier'n ist das dass beste überhaupt
Haben so lang gewartet daraufEmbed"
Aalemarie,Flieg mit mir,"August 12, 2022",de,"1 ContributorFlieg mit mir Lyrics

Flieg mit mir
Flieg mit mir

Wie 'nen Schmetterling im Bauch
Ich habe seit Tagen einfach Gänsehaut
Der Himmel strahl in Blau
Und mein Herz fährt Achterbahn
Komm fahr doch mit, dann spürst du es auch

Gefühle total, Liebesalarm
Mein Herz fordert dein Herz auf zum Tanz
Die Geflügel gespannt, das fliegen kommt an
Nimm meine Hand

Und flieg mit mir den Sternen entgegen
Eine Millionen Sternschnuppen seh'n
Flieg mit mir als wär'n wir Raketen
Und die ganze Welt kann das Feuerwerk seh'n
Man sieht uns fliegen, fliegen
Sieht uns fliegen, fliegen
Fliegen, fliegen wenn man nach oben schaut
Wir fliegen, fliegen, ja wir fliegen, fliegen
Fliegen, fliegen, fliegen hoch hinaus
You might also like
Dieser Sonnenuntergang
Die Welt so wie gemalt sie erstrahl für uns in Glanz
Laufen Barfuß durch den Sand
Schließen unsere Augen warten nicht auf irgendwann

Gefühle total, Liebesalarm
Mein Herz fordert dein Herz auf zum Tanz
Die Geflügel gespannt, das fliegen kommt an
Nimm meine Hand

Und flieg mit mir den Sternen entgegen
Eine Millionen Sternschnuppen seh'n
Flieg mit mir als wär'n wir Raketen
Und die ganze Welt kann das Feuerwerk seh'n
Man sieht uns fliegen, fliegen
Sieht uns fliegen, fliegen
Fliegen, fliegen wenn man nach oben schaut
Wir fliegen, fliegen, ja wir fliegen, fliegen
Fliegen, fliegen, fliegen hoch hinaus

Und wir fliegen hoch hinaus
Bis zu den Sternen
Ja wir fliegen hoch hinaus
Flieg mit mir den Sternen entgegen
Eine Millionen Sternschnuppen seh'n
Flieg mit mir als wär'n wir Raketen
Und die ganze Welt kann das Feuerwerk seh'n
Man sieht uns fliegen, fliegen
Sieht uns fliegen, fliegen
Fliegen, fliegen wenn man nach oben schaut
Wir fliegen, fliegen, ja wir fliegen, fliegen
Fliegen, fliegen, fliegen hoch hinaus

Oh-oh, Oh-oh, Oh-oh, Oh-oh-oh
Oh-oh, Oh-oh, Oh-oh, flieg mit mirEmbed"
Aaskereia,"Im Schattenlicht, zwischen den Welten",,de,"1 ContributorIm Schattenlicht, zwischen den Welten LyricsIm Schattenlicht, zwischen den Welten, wartend...
Meine Sinne gerichtet auf all das Leben, fern von euch
Welches ihr nicht kennt
Der Schein des Mondes, kalt schimmernd im Schnee
Sich spiegelnd im stillen Teich, der unberuehrt von menschlicher Existenz
Vergessen in der Einsamkeit ruht
So wie wir
Verachtet
Verpoent
Und vergessen
Haben wir das Leid mit dem ihr lebt
Dock kam es ueber euch. Durch und mit euch
Ich habe es nicht verstanden, werde es nie verstehen
Doch ist nun die Zeit gekommen...
...und ich behalte recht
Wartend, Im Schattenlicht, zwischen den WeltenYou might also likeEmbed"
Aaskereia,Aus Dem Vereisten Unterholz Verschneiter Wilder,,de,"1 ContributorAus Dem Vereisten Unterholz Verschneiter Wilder LyricsAus dem vereisten Unterholz verschneiter Wälder
Blickend auf die niedrige Art Mensch
Verachtung breitet sich aus
Mein Herz erfriert
Hass, der uns zur Vernichtung triebt
Auf in den Kampf gegen
Zweifel, Gier, Selbstverherrlichung und Gebet
Aus dem vereisten Unterholz verschneiter Wälder
Die Klinge
Die den Rumpf abgetrennt
Das Blut
Welches ins Gesicht mir spritzt
Der Boden
Der mit toten Leibern bedeckt ist
Verfault
Es stinkt und lockt zugleich
Aus dem vereisten Unterholz verschneiter Wälder
Wie wir kamen
So verschwanden wir
Doch kommen wir immer wieder
Aus dem vereisten Unterholz verschneiter WälderYou might also likeEmbed"
AB Syndrom,Du hörst mich nicht,"September 30, 2022",de,"1 ContributorDu hörst mich nicht LyricsDu hörst mich nicht
Du hörst mich nicht

Alles verlorene
Alles verlorene
Alles verlorene Kontrolle
Alles verloren
Alles verloren
Alles verloren was ich wollte
Ich sitz an den Controllern Baby
Und weiß nicht ob du es hörst
Mir liegt nicht viel an der Control ah Baby
Ich will nur dass du mich hörst

Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht

Alles kaputt in
Alles kaputt in
Alles kaputt in meiner Hardware
Alles kaputt in
Alles kaputt in
Alles kaputt in meiner Software
Ich tu nicht so als ob ich hart wär Baby
Ich will nur dass du mich hörst
Ich tu nich so als ob ich soft wär Baby
Ich will nur dass du mich hörst
You might also like
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht

Ich hör dich nicht weil du keine Zeit hast zu reden
Wie soll ich dich hören können
Wenn wir uns nicht verstehen?
Wenn du nichts sagst hilft es nicht laut zu drehen
Ich hör dich nicht weil du keine Zeit hast zu reden
Wie soll ich dich hören können
Wenn wir uns nicht verstehen?
Wenn du nichts sagst hilft es nicht laut zu drehen

Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nicht
Du hörst mich nichtEmbed"
AB Syndrom,Elmsfeuer,"September 30, 2022",de,"1 ContributorElmsfeuer Lyrics
Ich sing für dich schief für dich
Schrei wie am Spieß für dich tief für dich
Ich flieg für dich zielst du richtig?
Erschiess mich nich Erschiess mich nich
Fünf Uhr Vierundvierzig eher wird’s nichts
Business to Business und du bist es
Du fühlst es und du tätowierst es
Du probierst es und kaschierst es

Ich komm mit Elmsfeuer
Mit Schatten im Gesicht
Du bist mir teuer
Bitte verlass mich nicht
Ich komm mit Elmsfeuer
Mit Schatten im Gesicht
Du bist mir teuer
Bitte verlass mich nicht

Zu teuer, zu expansiv, dein Elmsfeuer zu explosiv
Ich heul wie der Wind
Ich Schimmer wie die Sterne die über uns sind
Kann sein kann sein kann sein kann sein dass ich dich kannte
Insektenstrudel um die Schreibtischlampe
Ich kann nicht schlafen von dem Koffein no
Manchmal ist bei uns einfach viel zu viel los
Eingesperrt im Kopfkino
Erschiess mich nich erschiess mich nie no
You might also like
Ich komm mit Elmsfeuer
Mit Schatten im Gesicht
Du bist mir teuer
Bitte verlass mich nicht
Ich komm mit Elmsfeuer
Mit Schatten im Gesicht
Du bist mir teuer
Bitte verlass mich nichtEmbed"
Abart,Dr Unbeugsam,"January 1, 2009",de,"1 ContributorDr Unbeugsam Lyrics
Ha de Sheriff im Blick und bi zvill Nächt gritte
I will endlich sitze und paar Schnäps in d fritte
Meins Lied vom Lebe und betritt de Saloon
Schüttle Rege vom Mantel wirf e Blick in rum
Lauf direkt an Trese schloh de Dreck vom Stifel
Drink wässrige whisky us dreckige gläser
Sag em Typ verpiss di gibmer d fläsche du Esel
Schickem giftigi Blick d Hand rechts bewegi
Richtig Colt am Gürtel scho goht alles klar
Ohni Stolz und würde wie en Hampelma

Doch plötzlich e Klick es wird e Winchester glade
I muess mi versichere was hinter mir wartet
Dreih uf dr Spitze gang ind Hocki und zieh
Seh Bei, roti Lippe und Locke wie no nie
So wie d mündig vom Lauf wommi ahvisiert
Seh zünd in Ihrem Aug, merk was mi ahzieht

Wähl die lisligi Stimm wo vertraue schenkt
Und red witer uf Sie ih bis de lauf sich senkt
Beidi spüre d Magie und glaube an Moment
Obwohl keine weiss wie lang de Zauber längt
You might also like
Hör s Lied vom Tod über d Düne klinge
Und s Lied vom Lebe in de Hüser spile
Stand zmitz ufem Hof und jetzt spüris widr
I stand mit dem Lebe numme zwüscheninne

Hör s Lied vom Tod über d Düne klinge
Und s Lied vom Lebe in de Hüser spile
Stand zmitz ufem Hof und jetzt spüris widr
I stand mit dem Lebe numme zwüscheninne

Zitt für ufs Zimmer und Sie holt de Schlüssel
Tochter vom Bsitzer ich bi froh das z wüsse
Krieg e gratis Bett und cha moll schlofe hütte
I ha zwenig Geld und Patrone im Gürtel

Chönntsmer nid leiste und nidemoll erzwinge
Jetzt simmer do z zweit und schwitze im Zimmer
Schüch duet do kein mir sin mittedrinne
Und Küss sind so heiss das unseri Blick scho flimmere

Höhepunkt erreicht, beidi schlofe ih
Und i träum mi durch d Nacht, ohni e Ziel
Spür plötzlich e Hand und die lohtmi nid si
Führt mi umenand fühl mi wohl wie no nie
Doch de Morge bricht ah, I sött witer ritte
Sie macht sofort klar, i blib an dinere Sitte
Mitm Gwehr in dr Hand packt Sie d Satteltäsche
Munition, Proviant und Wasserfläsche
Hör s Lied vom Tod über d Düne klinge
Und s Lied vom Lebe in de Hüser spile
Stand zmitz ufem Hof und jetzt spüris widr
I stand mit dem Lebe numme zwüscheninne

Hör s Lied vom Tod über d Düne klinge
Und s Lied vom Lebe in de Hüser spile
Stand zmitz ufem Hof und jetzt spüris widr
I stand mit dem Lebe numme zwüscheninne

Mir ritte wie dr Tüfel richtig Mexico
Witt und breit numme Steppe und kei deckig do
Und i hoff nur de Sheriff hett si Jagd abbroche
Doch bezwifles stark, i ha si Vater erstoche

Spür s erstmoll im Lebe d Angst vor Verlust
Well die Lady do ähne die isch anderst druff
Kenn Sie knapp zwei däg doch i halt mi nid zrugg
Schliess sie tief in mi herz und leg d Hand uf d Brust

Und genau in dem Moment gsehni Staub am Himmel
S chömme mindestens zwanzig ufme Gaul vo hinde
Wo zum Lied vom Tod ihri Paucke schwinge
Und s einzig wonni denk, wie lonni d Frau verschwinde
Die einzigi Lösig, i nimmse als Geisle
Gun an d Schlöfe, Sie am winsle und kreische
Kein vo dene Wixer begrifft minni List
Mi meitli isch hütt sicher und ich defür gschicht
Hör s Lied vom Tod über d Düne klinge
Und s Lied vom Lebe in de Hüser spile
Stand zmitz ufem Hof und jetzt spüris widr
I stand mit dem Lebe numme zwüscheninne

Hör s Lied vom Tod über d Düne klinge
Und s Lied vom Lebe in de Hüser spile
Stand zmitz ufem Hof und jetzt spüris widr
I stand mit dem Lebe numme zwüscheninneEmbed"
Abaz,UNIKAT,"November 29, 2019",de,"1 ContributorUNIKAT Lyrics

(Ah, Okay)
Meine Jungs wollen Massaker
Stürmen Partys und klauen deine Master card, Mach  ma’ para klar, ich fick 1000 kahs, und ich bringe das, motherfucker ich bin echt und ich flowe krass (brrra)
Was wollt ihr kleinen wixxer mir noch erzählen? (Yeah) ich fick das Geschäft und bin para am zählen, ihr wolltet es sehen, ich  werde dich quälen, ficke diese kleinen Heuchler bis sie es verstehen (Pat, Pat)
Bruder labber mich nicht voll mit dein hype (Yeah)
Komm mit Bero und ich fick dein verein
Dein Ott ist nicht good
Dein Ott ist doch Tod
Ich mache paar millen und Rap über koks
Ich baller mit Schrot, und mach das für brot
Kleiner Pisser rede nicht und bring das ethanol, für das benzer symbol, kämpf ich bis zur million
Und bin in paar Jahren inshallah bald dein Idol
Verpiss dich ya kelb, ich hol die scharfe aus dem schwarzen Jackett, ich ficke jetzt rap (Yeah)
Was willst du blender? kommst zum treffen zu Zehnt aber ich komm nur mit der heckler, Hannibal Lecter, ich bin Gangster , du bist eine kleine fotze du Faker
[Hook}
Immer wenn es Nacht wird in meiner Stadt (in meiner Stadt)
Motherfucker Braunschweig Nord geben gas, (geben Gas)
Mannschaft bereit wir sind immer am start (immer am Start)
Abaz ist da, ich bleib ein Unikat (huu)
Ein Unikat (Yeah), ein Unikat (huu)
Kleiner pisser warte ab ich komm in deine Stadt und mach Attentat (Pow Pow)
Ein Unikat (brra, ein Unikat), ein Unikat (Yeah, ein Unikat)
Wartet alle ab und in paar Jahren
Bin ich Inshallah ein Star (hah)
You might also like
A-b-a-z, a-b-a-z, Blaulicht Sirenen, ich muss ganz schnell hier weg, ich muss ganz schnell hier weg, ich muss ganz schnell hier weg
Ich lauf grade Richtung Versteck (Yeah)
Fick die Amcas
Ich komm rüber mit nem‘ dicken Panzer
Ja Mach mal langsam
Mach mal langsam
Ja mach mal langsam
Deine Freundin liebt den Geruch von Prada (Brra)
Meine Stadt ist voller Junkies, aber auch voller Bandit, wenn sie sehen das du hier ziehst wird es ganz eklig Bruder es gibt krieg (pow, pow)
Und wenn du Sätze spuckst
Dabei auch noch muckst
Machst du hart Verlust
Auch wenn du Schusssichere Weste nutzt
Ich bin real und ich bring das (Yeah)
Sei dir sicher das ich ficke bis zum blindarm (hah)
5 Jahre haps drohen uns, wegen Totschlag (Brr)
Wir chillen im Block von Montag bis Freitag
Rollen im Maybach, ich fick die cops (huh)
Sie nehmen uns hops, Mama kriegt ein schock
Der Gürtel von Gucci die Uhr von AP (hah)
Wir rollen im Matt schwarzen S class coupe (Yeah)
Rasiere die Strophen und ficke jetzt rap dieser junge ist grade frisch im Geschäft (aah, Brra)

Immer wenn es Nacht wird in meiner Stadt (in meiner Stadt)
Motherfucker Braunschweig Nord geben gas, (geben Gas)
Mannschaft bereit wir sind immer am start (immer am Start)
Abaz ist da, ich bleib ein Unikat (huu)
Ein Unikat (Yeah), ein Unikat (huu)
Kleiner pisser warte ab ich komm in deine Stadt und mach Attentat (Pow Pow)
Ein Unikat (brra, ein Unikat), ein Unikat (Yeah, ein Unikat)
Wartet alle ab und in paar Jahren
Bin ich Inshallah ein Star (hah)
(Wartet alle ab und in paar Jahren bin ich Inshallah ein Star)Embed"
Paul Abbrecht,Tränen,"December 18, 2020",de,"1 ContributorTränen Lyrics

Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert
Baby, unsre Liebesstory
Hat kein Happy End (Kein Happy End)
Liebe heißt überleben
Nur, dass am Ende bei uns einer stirbt
Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert, no, no, wert, no, no, oh, yeah

Wie lange ist es her? Ey, ich weiß nicht
Ziеmlich schwer zu begreifеn
Sachen fliegen durch die Wohnung, wenn wir streiten
Und keiner von uns beiden hat gemerkt, dass wir zu weit geh'n
Ich weiß, ich habe Fehler gemacht
Paradox, dass ich dich für meine Fehler bestraf'
Du bist ganz normal und ich leb' in der Nacht
Ich war immer unterwegs, yeah, und nie für dich da

Und Babe, du hast safe jemand Besseres verdient
Also halt nicht an mir fest
Unsre Welt sie zerfällt, wirklich weg bin ich nie
Weil du mich nicht lässt
You might also like
Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert
Baby, unsre Liebesstory
Hat kein Happy End (Kein Happy End)
Liebe heißt überleben
Nur, dass am Ende bei uns einer stirbt
Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert, no, no, wert, no, no, oh, yeah

Und ich hass' es, wenn du heulst, ja
Wie oft hast du gesagt, wie sehr ich dich enttäuscht hab'?
Zu viele Endorphine, immer nur auf Vollgas
Eins kannst du mir glauben: Dass ich kein'n Tag bereut hab'
Und nein, Babe, ich kann das nicht mehr
Dir immer weh zu tun, glaub mir, ey, das bricht mir das Herz
Vielleicht bringt uns die Distanz ein Stückchen näher
Weil ich weiß, dass du eigentlich in mein Leben gehörst

Und Babe, du hast safe jemand Besseres verdient
Also halt nicht an mir fest
Unsre Welt sie zerfällt, wirklich weg bin ich nie
Weil du mich nicht lässt
Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert
Baby, unsre Liebesstory
Hat kein Happy End (Kein Happy End)
Liebe heißt überleben
Nur, dass am Ende bei uns einer stirbt
Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert, no, no, wert, no, no, oh, yeah

Ich bin das alles hier nicht wert
Ich bin das alles hier nicht wert
Ich bin das alles hier nicht wert

Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert
Baby, unsre Liebesstory
Hat kein Happy End (Kein Happy End)
Liebe heißt überleben
Nur, dass am Ende bei uns einer stirbt
Bitte verstecke deine Tränen vor mir
Ich bin das alles hier nicht wert, no, no, wert, no, no, oh, yeahEmbed"
Paul Abbrecht,Gut geht,"October 23, 2020",de,"2 ContributorsGut geht Lyrics

Ich wollt nur fragen, ob's dir gut geht
Du hängst auf Partys ab und ich darf nur noch zuseh’n
Dir ist egal, ob mein Herz blutet
Ich wollt nur fragen, ob's dir gut geht
Ob's dir gut geht, gut geht
Ob’s dir gut geht, gut geht
Ob's dir gut geht, gut geht
Ich wollt nur fragen, ob's dir gut geht

Yeah, tausend Nachrichten gesendet
Doch immer noch kein blauer Haken bei der Message
Die Tage werden grauer, ich versteck' mich
Mein Herz ist eingemauеrt, seit du weg bist
Spaziergang in 'nеm finsteren Wald
Fuck it, jede andere Frau lässt mich bis heute kalt, ey
Nach draußen lächeln, doch das Innere weint
Du weißt bestimmt gut, was ich mein', nein, im Ernst, yeah
Ich hoff', dir geht es gut, egal, was du grad machst
Köpfst sicherlich 'ne Flasche mit ’nem andern im Park
Genau das haben wir beide jeden Freitag gemacht
Ich war high von dir und du der größte Teil meines Plans, ey
You might also like
Ganz egal, wo du bist und mit wem
Ganz egal, wie viel Tage vergehen
Und egal, was du gerade erlebst
Sag mir nicht, dass du mich vergisst

Ich wollt nur fragen, ob’s dir gut geht
Du hängst auf Partys ab und ich darf nur noch zuseh'n
Dir ist egal, ob mein Herz blutet
Ich wollt nur fragen, ob’s dir gut geht
Ob's dir gut geht, gut geht
Ob's dir gut geht, gut geht
Ob's dir gut geht, gut geht
Ich wollt nur fragen, ob’s dir gut geht

Was mal dein helles Spotlight war, nur noch ein schimmerndes Licht
Jeder schwarze Mini, den ich seh', erinnert an dich
Schaue zwei Mal hin, bist du's oder bist du es nicht
Und bin ich über dich hinweg oder bin ich verrückt? Ah
Ganz egal, wie viele Meilen uns trenn'n
Du kennst für immer diesen Teil von mir, den keiner hier kennt
Ich weiß genau, was dich bewegt, kenn' alle deine Probleme
Doch glaub' mir, davon wird jedes sich irgendwann einmal regeln
Ah, gib mir ein Lebenszeichen, schick mir ein Signal
Ich will nur, dass du nie vergisst, wer wir mal war'n
Vielleicht findest du jetzt jemand, der dir sagt
Was du hör'n willst, denn ich hab' es nie getan
Ganz egal, wo du bist und mit wem
Ganz egal, wie viel Tage vergehen
Und egal, was du gerade erlebst
Sag mir nicht, dass du mich vergisst

Ich wollt nur fragen, ob's dir gut geht
Du hängst auf Partys ab und ich darf nur noch zuseh'n
Dir ist egal, ob mein Herz blutet
Ich wollt nur fragen, ob's dir gut geht
Ob's dir gut geht, gut geht
Ob's dir gut geht, gut geht
Ob's dir gut geht, gut geht
Ich wollt nur fragen, ob's dir gut gehtEmbed"
