genre,interpret,album,release_year,songtitle,decade,song_id,full_title,release_date_components_raw,release_date_for_display,stats_raw,lyrics
Rock,OK KID,OK Kid,2013,Heile Welt,2010,426385,Heile Welt by OK KID (Ft. Olli Banjo),"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 5, 'hot': False}","Heile Welt Lyrics
Ich will raus, ich will aus diesen Schuhen raus
Auch wenn sie gut aussehen, ich seh nicht gut drin aus
Landung auf dem Bauch, besser als ins Gras zu beißen
Sehe Nadelstreifen Bilder auseinander schweifen
Und ich setze Punkte hinter Fragezeichen
Mein Leben ein Geschenk, eingepackt in Warteschleifen
Knoten platzen, auspacken mit leuchtenden Kinderaugen
Blut lecken, mir was neues aus den Fingern saugen
Und ich tanz einbeinig überm Abgrund
Lass mich fallen, um zu gucken was passiert
Ich stürze ab in dieser scheinbar heilen Welt
Scheinbar wieder zurück zu mir (x3)

Lieg auf dem Boden
Kann die Erde wieder fühlen
Lass Sterne verglühen
Atme durch
Scheinbar muss ich weg von hier
Scheinbar zurück zu mir
Zieh den Kopf aus der Schlinge
Einer scheinbar heilen Welt (x2)

Ich les mich durch die Wand aus Comics durch - da kommt nichts durch
Die Schultern sind einfach zu verspannt - da kommt nichts durch
Ich krall mich in die Kissen, Taktgefühl aus Krücken
Doch das Bettgestell sticht mir durch die Matratze in den Rücken
Ich muss aufstehen, strenge Soldaten, die mir im Magen sitzen
Ich will aufstoßen, ich will davon gar nichts wissen
Schlag den Katalog auf Blut tropft von der Nasenspitze
Will mir das Klischee von Seite 13 in die Arme ritzen
Es könnte so einfach sein, doch der Junge lebt
Und er tauscht den Status Scheidungskind Nicht gegen Lungenkrebs
Ich nehm keine Drogen mehr, will nicht mehr im Sterben liegen
Ich fühle den Boden, Seh den Mond in Vogelperspektive
Gott sagt: ""du bist ein Wunderkynd Such deinen Vater""
Ich pack Steine aus dem Rucksack und fahr nach London mit'm Fahrrad
Das ist Afrika, beige Telefone aus den 80ern
Ich wähle die Nummer per Scheibe
You might also likeScheinbar wieder zurück zu mir (x2)
2Embed"
Rock,OK KID,OK Kid,2013,Am Ende,2010,426393,Am Ende by OK KID,"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 10, 'hot': False, 'pageviews': 18575}","Am Ende Lyrics

Vielleicht nur heiße Luft, wahrscheinlich ausgebrannt
Vielleicht auch zeitgemäß und wir sind gar nicht Schuld daran
Dass niemand mehr von uns für irgendetwas brennen kann
Legenden sterben jung, die meisten stumm und arm
Und erst in hundert Jahren, Zeit zu überlegen
Ob das Leben eine Scheibe ist
Wenn du es weißt, geil für dich
Wir lachen nicht, heben es auf
Irgendwann wird unser Himmel schon blau
Denn am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Können wir das Ende nicht sehen
Können wir das Ende nicht sehen
Denn am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Haben wir auch kein Problem

Und wir springen, sehen uns auf die Fresse fliegen
Doch lieber fliegen, als Seidenhemden gerade Bügeln
Nicht mal Ansatzweise, unsere Kragenweite
Lieber voll verkacken, als schon im Ansatz scheiße
Zelebrierte Langeweile
Große Worte, keine Taten, kleine Fische, großer Magen
Weiter warten und in 70 Jahren:
Der wohlverdiente Stempel auf dem Masterplan

Denn am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Können wir das Ende nicht sehen
Können wir das Ende nicht sehen
Denn am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Haben wir auch kein Problem
You might also like
Oder was ist das Problem?
Haben wir ein Problem?
Was ist dein Problem?
Was ist dein Problem?

Doch am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Können wir das Ende nicht sehen
Können wir das Ende nicht sehen
Denn am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Können wir das Ende nicht sehen
Denn am Ende wird alles wieder gut
Und solange es uns nicht gut geht
Haben wir auch kein Problem11Embed"
Rock,OK KID,OK Kid,2013,Wenn der Tag abreist,2010,245623,Wenn der Tag abreist by OK KID (Ft. Gerard),"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 0, 'hot': False}","Wenn der Tag abreist Lyrics

Niemand fragt mehr nach Sonnenschein
Denn es regnet und wir alle werden nass
Sanfte Gewitter, strahlende Gesichter
Und niemand von uns weiß, was noch passiert
Ich bin wieder da
Wo ich gestern schon mal war
Nächste Runde, streu Salz in die Wunde
Pflastersteine voller streunender Hunde
Kurzer Atem, Staub in der Lunge
Tausend Bilder pro Sekunde und ich skip
Bleib immer wieder hängen zwischen vor und zurück
Home ist wo mein Arsch ist
Genau da, wo du bist, die Welt könnte so schön sein
Doch ich bin da, wo du bist!
Noch mal Anlauf nehmen, mir selber auf die Schulter klopfen
Tiefer sinken, weiter hoffen
Aus dem Schatten boxen und dich wieder finden
Dich wieder finden, dich irgendwo wieder finden
Endorphine tropfen, endlich wieder Lichter sehen
Auch wenn die ganze Welt sich fragt, du kannst mich verstehen
Halt mich an Zweigen fest, von Bäumen, die Früchte tragen
Setz mich auf die Krone - Nichts mehr sagen
Wenn der Tag abreist komm ich zu dir
Zieh ne Sonnenbrille auf und geh spazieren
Dann kann mir nichts mehr passieren
Auch wenn ich dich am nächsten Morgen verlier'
Wenn der Tag abreist komm ich zu dir
Zieh ne Sonnenbrille auf und geh spazieren
Dann kann mir nichts mehr passieren
Auch wenn ich dich am nächsten Morgen verlier'

Mein Blick streift langsam über Häuserfassaden
Frag mich bei einem dieser neuen Plakate, wieviel die Werbung wohl kostet
Ich schlender weiter, stumm wundernd
Warum die Damenabteilung eigentlich so oft im Erdgeschoss liegt
IPod im Shuffle Modus, ich switch zwischen Hudson Mohawke
Rio Reiser irgendwo rum
Frag mich wies wäre, wenn es Ton Steine Scherben noch gibt
Schwerer Kopf - Müde Gedanken
Fühlt sich an, als ob mein Hirn rebelliert
Mich verwirrt und verärgert klopft
Ich mich zwar wehr und doch gegen dich nicht ankomm
Weil ich nachts dann wieder stürz, als ob nichts wär
Anstatt ner sicheren Landung, du nimmst mich an der Hand
Und gehst mit mir Richtung Exzess- Ich geh artig mit
Mach Party bis dann irgendwann der Tag anbricht
Ich fast vergessen hab, was essen und was schlafen ist
Die Party dauert, denn die Geister die ich rief
Sitzen morgens noch bei mir und machen Afterhour
You might also like
Wenn der Tag abreist komm ich zu dir
Zieh ne Sonnenbrille auf und geh spazieren
Dann kann mir nichts mehr passieren
Auch wenn ich dich am nächsten Morgen verlier'
Wenn der Tag abreist komm ich zu dir
Zieh ne Sonnenbrille auf und geh spazieren
Dann kann mir nichts mehr passieren
Auch wenn ich dich am nächsten Morgen verlier'
Wenn der Tag abreist komm ich zu dir
Zieh ne Sonnenbrille auf und geh spazieren
Dann kann mir nichts mehr passieren
Auch wenn ich dich am nächsten Morgen verlier'1Embed"
Rock,OK KID,OK Kid,2013,Alles oder nichts mehr,2010,426403,Alles oder Nichts mehr by OK KID,"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 0, 'hot': False}","Alles oder Nichts mehr Lyrics

So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein

Ich bin auch so wie du, du genauso wie wir
Ich bin auch so wie du, du genauso wie wir
Überall zuhause, wir wissen was passiert
Du stehst auf, ich schlaf ein
Wir wollen alles mit uns teilen
Alles oder nichts mehr um ein Teil davon zu sein


So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
So wird es kommen, so wird es sein
Alles oder nichts mehr
So wird es kommen, so wird es sein
Alles oder nichts mehr
So wird es kommen, so wird es sein
Alles oder nichts mehr
So wird es kommen, so wird es sein
Alles oder nichts mehr
So wird es kommen, so wird es sein
Alles oder nichts mehrYou might also like1Embed"
Rock,OK KID,OK Kid,2013,Schlaf,2010,426409,Schlaf by OK KID,"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 0, 'hot': False}","Schlaf Lyrics

Ich hatte einen Traum gestern Nacht
Alles wird gut, wenn ich schlaf
Seitdem bin ich nicht aufgewacht
So einfach, so einfach
Ich hatte einen Traum gestern Nacht
Alles wird gut, wenn ich schlaf
Seitdem bin ich nicht aufgewacht
So einfach, so einfach, einfach zu sein
Wecker nein, bitte weck mich noch nicht
Wecken ist out, wecken ist laut
Hab den Wecker getauscht, hab die Leidenschaft zurück
Doch die Zeit ging dabei drauf
Fairer Tausch, lauf nicht mehr
Schließ die Augen, schau ihr hinterher
Zeit ist Geld, Schlaf elitär
Hab das Optimum erreicht - ich will nicht mehr

Ich hatte einen Traum gestern Nacht
Alles wird gut, wenn ich schlaf
Seitdem bin ich nicht aufgewacht
So einfach, so einfach
Ich hatte einen Traum gestern Nacht
Alles wird gut, wenn ich schlaf
Seitdem bin ich nicht aufgewacht
So einfach, so einfach, einfach zu sein

Steh nicht auf, dreh mich lieber noch mal um
Schlaf ist König - Schlaf ist Trumpf
Wissen ist Macht, zuviel wissen macht stumpf
Schalt den Kopf aus - den Knopf auf Stumm
Und hör Musik auch wenn sie aus ist
Feier diesen Beat auch, wenn er aus ist
Wenn es dir wieder mal zu laut ist:
Schlaf, schlaf, schlaf
You might also like
Ich hatte einen Traum gestern Nacht
Alles wird gut, wenn ich schlaf
Seitdem bin ich nicht aufgewacht
So einfach, so einfach
Ich hatte einen Traum gestern Nacht
Alles wird gut, wenn ich schlaf
Seitdem bin ich nicht aufgewacht
So einfach, so einfach, einfach zu sein
*Weckerklingeln1Embed"
Rock,OK KID,OK Kid,2013,Kaffee warm,2010,137133,Kaffee warm by OK KID,"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 35555}","Kaffee warm Lyrics
Du schaust mich an als wär ich ein Analphabet
Versuch's dir zu erklären: A B C E, egal, eh nicht so wichtig
Scheißegal, du bist eh nicht so richtig bei mir
Lass uns sagen es ist eh nichts passiert. Lieber
Ego polieren als ewig frustriert
Ein müdes Lächeln nur das Mittel zum Zweck
Lügen haben lange Beine, sie gehen schneller weg
Häng' mich in Phrasen auf
Und tritts du gegen den Stuhl, wär' ich cool damit
Wär' auch cooler für dich
Geht nicht, auf halbem Weg gescheitert
Du bist immer noch bei mir-
""Geh nicht"", geht weiter
Und schon wieder dieses kopfzerfickende Gefühl
Dieses ""Ich will nicht dass du weißt, dass ich nicht weiß was ich will""
Und ich Idiot, hol' deine Tasse aus dem Schrank
Brüh alles nochmal auf und halt den Kaffee für dich warm
Verdammt!
Und ich Idiot halt' den Kaffee für dich warm, verdammt!

Ohne Milch und Zucker, keine gefälschten Bilder
Ungefiltert, runter auf Ex
Ich hab gesagt ich halt' den Kaffee für dich warm
Die Hoffnung tropft zuletzt
Wie pathetisch diese Worte klingen
Und wenn wir ehrlich wären würden wir sofort merken
Alles fake, alles ohne Sinn
Du ziehst am Filter deiner Kippe, schaust mich an
Rauch sie tot - 'ne warte ich zieh selbst nocheinmal dran,
Verdammt!

Und schon wieder dieses...
Und schon wieder dieses, kopfzerfickende Gefühl
Dieses, ""irgendwie passt es schon
Ja vielleicht auch nicht"", irgendwann, irgendwann
Und schon wieder dieses kopfzerfickende Gefühl
Dieses ""Ich will nicht dass du weißt, dass ich nicht weiß was ich will""
Und ich Idiot, hol' deine Tasse aus dem Schrank
Auch wenn du erstmal nicht mehr kommst, halt' den Kaffee für dich warm
Verdammt!
Ich halt' den Kaffee für dich warm, verdammt!
Ich halt' den Kaffee für dich warm, verdammt!
You might also like
Und schon wieder dieses erbärmliche Gefühl, dieses
Unglaublich beschissene Irgendetwas!
Dieses unglaublich erbärmliche..., dieses
Leidenschaftlos hurensohnmäßige Gefühl des Nichtstuns!
Dieses unglaublich kaputtschlagende hirnfickende Etwas!
Und ich Idiot halt' den Kaffee für dich warm
Ich halt' den Kaffe für dich warm!7Embed"
Rock,OK KID,OK Kid,2013,Mehr Mehr,2010,137463,Mehr Mehr by OK KID,"{'year': 2009, 'month': 11, 'day': 13}","November 13, 2009","{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 12428}","Mehr Mehr Lyrics
Wir haben ne Wohnung in New York
Gehen shoppen in Paris
Haben ein Kind in Göteborg
Und einen Koffer in Berlin
Wir sind überall gewesen
Können einiges erzählen
Wir wissen alles besser
Denn wir haben alles gesehen
Haben Studium geschmissen
Und ein Neues angefangen
Haben aufgehört zu kiffen
Und wieder angefangen
Wir glauben an die Liebe
Haben mit 13 schon gefickt
Haben Spaß mit uns alleine
Hin und wieder auch zu dritt
Haben virtuelle Freunde
Sind überall vernetzt
Zwischen Käffchen und ner Kippe
Ist noch Zeit für SMS
Wir reden ohne Pause
Wir kommen nicht auf den Punkt
Verbringen Nächte auf den Straßen
Und das meistens ohne Grund
Eigentlich, eigentlich eigentlich
Geht es uns gut
Doch wir wollen mehr mehr mehr mehr
Wir haben alles was wir brauchen doch noch lange nicht genug
Wir wollen mehr mehr mehr mehr
Eigentlich, eigentlich, eigentlich
Geht es uns gut
Doch wir wollen mehr mehr mehr mehr
Wir haben alles was wir brauchen doch noch lange nicht genug
Wir wollen mehr
Wir wollen mehr

Wir haben strahlend weiße Zähne
Sind sportlich gebaut
Haben ein Mädel für das Ego
Damit man noch an sich glaubt
Wir sind immer up to date
Haben noch nie was verpasst
Haben alles ausprobiert
Doch es hat nie wirklich gepasst
Wir gucken hier, gucken da
Wir knutschen hier, knutschen da
Und sind elitär und politisch korrekt
Wir sind individuell
Haben keinen Bock auf den Rest
Sind nach außen perfekt
Innerlich fürn Arsch
Wollen das Gefühl wieder haben
Wie es früher mal war
Und wir feiern und wir feiern und wir feiern uns selbst
Sind zu groß für unsere Stadt
Doch zu klein für die Welt
You might also like
Eigentlich, Eigentlich eigentlich
Geht es uns gut
Doch wir wollen mehr mehr mehr mehr
Wir haben alles was wir brauchen doch noch lange nicht genug
Wir wollen mehr mehr mehr mehr
Eigentlich, eigentlich, eigentlich
Geht es uns gut
Doch wir wollen mehr mehr mehr mehr
Wir haben alles was wir brauchen doch noch lange nicht genug
Wir wollen mehr
Wir wollen mehr
Wir wissen alles besser
Denn wir haben alles gesehen
Wir wollen mehr
Wir wollen mehr
Eigentlich, eigentlich, eigentlich
Geht es uns gut
Doch wir wollen mehr mehr mehr mehr
Wir haben alles was wir brauchen, doch noch lange nicht genug
Wir wollen mehr mehr mehr mehr
Eigentlich, eigentlich, eigentlich
Geht es uns gut
Doch wir wollen mehr mehr mehr mehr
Wir haben alles was wir brauchen, doch noch lange nicht genug
Wir wollen mehr
Wir wollen mehr2Embed"
Rock,OK KID,Grundlos,2014,Borderline,2010,428006,Borderline by OK KID,"{'year': 2014, 'month': 6, 'day': 6}","June 6, 2014","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 11636}","Borderline Lyrics
Ich sammle Blumen von der Straße
Schau sie an, heb sie auf, bis sie welken
Danach häng ich sie in meinem Zimmer auf
Und lass noch Platz für die Nächste daneben
Ah, Borderline, Borderline, Borderline
Wir schütten unser Herz ins glas und wenn es leer ist
Schauen wir noch mal nach ob noch irgendetwas da ist
Dumpfes Gefühl in der Magengegend
Lust auf dem Boden liegend, lachend noch mal nachzutreten
Ritzen uns, sinnlose Kunst in den Armen
Um morgen zu erzählen wie cool es gestern wieder war
Morgen alles gut, heute noch mal Opfer sein
Wenn alle Stricke reissen, bleibt die Borderline

Sie holt dich hier raus, sie lässt dich fallen
Bringt dich ins Bett, schläft mit dir ein
Die große weite Welt wird bei ihr wieder klein
Wenn alle Stricke reissen bleibt die Borderline
Borderline, Borderline, Borderline
Niemand tanzt so schön wie wir auf der Borderline
Borderline, Borderline
Wenn alle Stricke reissen bleibt die Borderline

Von den Bräuten auf Knien kurz vor dem Ziel
Holt sie dich runter, zurück auf die Knie
OK KID kurz vorm Hit links abgebogen
Halleluja, immer noch Luft nach oben
Nicht mehr wo will ich hin oder wo komm ich her
Grundlos sein, wenn ich häng fall ich nicht mehr
Kompromiss, loslassen nicht mehr möglich, denn
Mit den Beinen baumeln, mit den Händen schwimm
Hände ringen, Kopf über Wasser halten
Weiter schlucken, in das Kopfsteinpflaster beissen
Sie bringt dir die Nacht, sie nimmt dir den Tag
Sie bringt dir die Angst - sie ist immer für dich da
Heute alles gut, morgen wieder Opfer sein
Wenn alle Stricke reissen bleibt die Borderline
You might also like
Sie holt dich hier raus, sie lässt dich fallen
Bringt dich ins Bett, schläft mit dir ein
Die große weite Welt wird bei ihr wieder klein
Wenn alle Stricke reissen bleibt die Borderline
Borderline, Borderline, Borderline
Niemand tanzt so schön wie wir auf der Borderline
Borderline (x2)
Wenn alle Stricke reissen bleibt die Borderline1Embed"
Rock,OK KID,Grundlos,2014,Unterwasserliebe,2010,440294,Unterwasserliebe by OK KID,"{'year': 2014, 'month': 5, 'day': 28}","May 28, 2014","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 13203}","Unterwasserliebe Lyrics
Heute nicht, denke ich, während sich
Der Atem über die Scheibe legt - Und ich
Mein Spiegelbild verlier und alles was ich seh
Sich nicht wirklich als konkret herauskristallisiert
Alles still, jedes Wort nur noch ne Luftblase
Solang ich Luft habe bleibt alles stumm
Augen auf, im Aquarium, noch kurz warten, um
Das Gefühl wieder zu haben - Nicht mehr zu atmen
Bis die Tropfen neue Wellen schlagen
Und der Frust endlich schweigt
Nicht mehr zu atmen, sage nichts - Denk nur laut
Tauche erst wieder auf, wenn Liebe nicht mehr laut ist
Und wieder warten, auf das Endorphin
Endlich wir, endlos fühl'n
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Nicht mehr Kopf in den Sand stecken
Kaltes Wasser laufen lassen, Kopf in das Waschbecken
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Bis die Tropfen neue Wellen schlagen
Und der Frust endlich schweigt
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)

Heute nicht, denke ich, während sich
Das Wasser über meine Schläfen legt und ich
Das Gleichgewicht verlier und alles was ich seh'
Sich erst, wenn ich runter geh herauskristallisiert
Zum Lachen unter Wasser gehen
Roter Faden, Lose (?) tragen - Nicht mehr zu
Atmen - Nicht mehr aufstoßen, runter spühl'n
Saurer Magen leer, Hunger still'n
Und wieder warten auf das Endorphin
Endlich wir, endlos fühl'n

Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Nicht mehr Kopf in den Sand stecken
Kaltes Wasser laufen lassen, Kopf in das Waschbecken
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Bis die Tropfen neue Wellen schlagen
Und der Frust endlich schweigt
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Nicht mehr Kopf in den Sand stecken
Kaltes Wasser laufen lassen, Kopf in das Waschbecken
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
Bis die Tropfen neue Wellen schlagen
Und der Frust endlich schweigt
Unterwasserliebe und alles was du siehst
Ist die Luft nach oben (oh)
You might also like
Und alles was du siehst, ist die Luft nach oben (oh)
Unterwasserliebe
Und alles was du siehst, ist die Luft nach oben (oh)
Unterwasserliebe
Und alles was du siehst, ist die Luft nach oben (oh)
UnterwasserliebeEmbed"
Rock,OK KID,Grundlos,2014,Grundlos,2010,286100,Grundlos by OK KID,"{'year': 2013, 'month': 4, 'day': 5}","April 5, 2013","{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 10492}","Grundlos Lyrics

Der Rasen ist gemäht, die Straßen sind gefegt
Und der Wind weht die letzte Melodie aus dieser Stadt
Und ich sitz wieder da, mit meinem rechten Fuß am Kinn
Wahrscheinlich um zu gucken, ob ich noch flexibel bin
Oder noch tiefer häng', als mir lieb ist
Wahrscheinlich noch mehr daneben, als der Vers über den Beat ist
Ich kotz mich aus, mein Gott bin ich eklig
Doch ich versteh mich endlich wieder
Gut mit mir, Simsala Gin
Schau nochmal ins Glas, alles wieder halb so schlimm
Schluck auf und vorbei
Grundlos Glücklich, grundlos sein

Grundlos Glücklich, grundlos sein
Grundlos Glücklich, grundlos sein
Ohne doppelten Boden
Nicht mehr da will ich hin, da werd ich sein
Nicht mehr unten, nicht oben
Grundlos Glücklich, grundlos sein

Die Treppe zieht sich lang zur nächsten Tür
Doch kein Bock zu diskutieren, ob es mit dem Aufzug schneller wär
Interessiert sich schon dafür?
Zieh mich am Geländer hoch, will die Stufen nicht mehr spüren
Sieht komisch aus, kein Plan ob es was bringt
Gibt mir einen Grund und ich fall' wieder hin
Solang bin ich cool, mit meinem rechten Fuß am Kinn
Zwischen Fliegen können und Liegen lernen, schweben ohne Sinn

Und schon wieder Simsala Gin
Schau nochmal ins Glas, alles wieder halb so schlimm
Schluckauf und vorbei
Grundlos Glücklich. Grundlos sein
You might also like
Grundlos Glücklich, grundlos sein
Grundlos Glücklich, grundlos sein
Ohne doppelten Boden
Nicht mehr da will ich hin, oder da werd ich sein
Nicht mehr unten, nicht oben
Grundlos Glücklich, grundlos sein

Grundlos Glücklich, grundlos sein
Grundlos Glücklich, grundlos sein
Grundlos Glücklich, grundlos sein
Grundlos Glücklich, grundlos sein

Grundlos Glücklich
Ohne doppelten Boden
Nicht mehr da will ich hin, oder da werd ich sein
Nicht mehr unten, nicht oben
Grundlos Glücklich, grundlos sein
Ohne doppelten Boden
Nicht mehr da will ich hin, oder da werd ich sein
Nicht mehr unten, nicht oben
Grundlos Glücklich, grundlos sein
2Embed"
