artist,song,release_date_for_display,language,stats,release_date_components,full_title,song_id,lyrics
Revolverheld,Wenn du jetzt hier wärst,"September 30, 2022",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2022, 'month': 9, 'day': 30}",Wenn du jetzt hier wärst by Revolverheld,8426782,"1 ContributorWenn du jetzt hier wärst Lyrics

Es ist irgendwie schade dass du weg bist
Ich hab' mich grade erst an dich gewöhnt
Ich fahr' allein mit dem Fahrrad durch die Straßen
Und in der Stadt ist heut schon wieder _
Ich bin irgendwie lustlos aber nicht wütend
Irgendwo dazwischen blieb das Pendel stehen
Und meine innere Stimme sagt ""Was soll das?""
Doch ich hab' keine Lust auf sie zu hören
Und ich rauche schon wieder, wenn auch heimlich
Und ich bin Mittags erst draußen zu sehen
Ich dreh' so meine Runden quer durchs Viertel
Vielleicht um das mit uns mal zu verstehen
Hey hallo wie geht's dir? - Alles bestens
Meine Augenringe kannst du ja sehen
Ich hab's nicht so mit dem schlafen aber das wird schon
In ein paar Wochen, du wirst es schon sehen

Wenn du jetzt hier wärst
Ich würd' 'nen Handstand machen für dich
Wenn du jetzt hier wärst
Würdest du lachen ob du willst oder nicht
Ich würd' die guten alten Zeiten heraufbeschwören
Und auf die Leichen im Keller einfach nicht mehr hören
Wenn du jetzt hier wärst
You might also like
Dieser Sommer ist nervig ohne dich
Alles ist langweilig und irgendwie grau
Die Stadt ist zu laut und zu staubig
Und auf dem Land ist irgendwie keine Sau
Ich starte tausend Versuche, mach' auch was neues
Hab' alle alten Freunde längst schon gesehen
Ich war auch auf Reisen, sogar lange
Aber ohne dich ist es nicht schön

Wenn du jetzt hier wärst
Ich würd' 'nen Handstand machen für dich
Wenn du jetzt hier wärst
Würdest du lachen ob du willst oder nicht
Ich würd' die guten alten Zeiten heraufbeschwören
Und auf die Leichen im Keller einfach nicht mehr hören
Wenn du jetzt hier wärst
Wären wir zusammen und nicht jeder für sich

Zusammen und nicht jeder für sich
Wenn du jetzt hier wärst
Wenn du jetzt hier wärst

Wenn du jetzt hier wärst
Ich würd' 'nen Handstand machen für dich
Wenn du jetzt hier wärst
Würdest du lachen ob du willst oder nicht
Ich würd' die guten alten Zeiten heraufbeschwören
Und auf die Leichen im Keller einfach nicht mehr hören
Wenn du jetzt hier wärst
Wären wir zusammen und nicht jeder für sich
Wenn du jetzt hier wärstEmbed"
Revolverheld,Das Größte,"November 5, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 11, 'day': 5}",Das Größte by Revolverheld,7267410,"5 ContributorsDas Größte Lyrics

Du hast mich so verändert
Wie nichts zuvor
Ich wusste nicht, dass es das gibt
Stell dir das vor
Du bist in jedem Gedanken
Jedes Gefühl bist irgendwie du
Und wenn ich manchmal nachts nicht schlafe
Bringst du mich zur Ruh
Du bist die Variable
In meinem System
Und ohne dich würd ich das Leben
Niemals versteh'n

Mein Herz ist durch dich
Noch viel weiter und weich
Und ist es mal schwer
Machst du es mir leicht
Ich kann's kaum erklären
Worte beschreiben's eigentlich schlecht
Du bist einfach das Größte
Auf dieser Erde für mich
You might also like
Ich sehe meine Fehler
Im Kleinen in dir
Und wenn ich mit dir schimpfe
Schimpf' ich mit mir
Ich hoffe, wenn du groß bist
Dann kommst du vorbei
Und wir reden wie Freunde
Über die Vergangenheit

Mein Herz ist durch dich
Noch viel weiter und weich
Und ist es mal schwer
Machst du es mir leicht
Ich kann's kaum erklären
Worte beschreiben's eigentlich schlecht
Du bist einfach das Größte
Auf dieser Erde für mich


Mein Herz ist durch dich
Noch viel weiter und weich
Und ist es mal schwer
Machst du es mir leicht
Ich kann's kaum erklären
Worte beschreiben's eigentlich schlecht
Du bist einfach das Größte
Auf dieser Erde für mich
Du bist einfach das GrößteEmbed"
Revolverheld,Irgendwann kommen wir schon an,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Irgendwann kommen wir schon an by Revolverheld,7267412,"4 ContributorsIrgendwann kommen wir schon an Lyrics

Der Sonne hinterher, Richtung Süden
Der Stadt entfliehen
Irgendwie durch den Tag, niemals zufrieden
Termine schieben
Wir reden nur davon, was morgen ist
Was steht auf der Liste?
Warten auf die Sonne, die aus den Wolken bricht
Und spür'n die Wärme schon im Gesicht

Nichts hält mich jetzt an
Die Zeit ist viel zu schnell vergang'n
Fenster auf und dann
Bеrgab und ohne Gang

Irgendwann kommen wir schon an
Irgеndwann kommen wir schon an

Ich wag den Sprung über den eignen Schatten
Setz all die Pläne um, die ich mal hatte
Schließ die Tür hinter mir und hab' schon eingecheckt
Verkauf mein ganzes Zeug, ist eh nur Sperrgepäck
You might also like
Nichts hält mich jetzt an
Die Zeit ist viel zu schnell vergang'n
Fenster auf und dann
Bergab und ohne Gang

Irgendwann kommen wir schon an
Irgendwann kommen wir schon an

Und merken dann
Dass alles so leicht sein kann
Irgendwann kommen wir schon an
Weil alles so leicht sein kann

Irgendwann kommen wir schon an
Irgendwann kommen wir schon an

Es ist nicht mehr lang
Ich geh über los und setze alles auf Anfang
Ich fang von vorne an
Und ich lass los, was ich nicht ändern kann
Irgendwann kommen wir schon an
Irgendwann kommen wir schon an
Irgendwann kommen wir schon an

Und merken dann
Dass alles so leicht sein kann
Irgendwann kommen wir schon an
Weil alles so leicht sein kannEmbed"
Revolverheld,Dahinten wird’s schon wieder hell,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Dahinten wird's schon wieder hell by Revolverheld,7267416,"4 ContributorsDahinten wird’s schon wieder hell Lyrics

Im Auge des Orkans, um mich zerbricht der Tag
Wo fang ich an? Hunderttausend Fragen
Eine Stunde dauert zehn Minuten nur
Hinter jedem neuen Problem lauert sofort die Uhr
Alle überholen mich in Lichtgeschwindigkeit
Ich such und finde nichts und dreh mich nur im Kreis
Wo ist der Weg hier raus, wie halt ich das hier an?
Wo ist der Knopf, mit dem ich's stoppen kann?

Denn vielleicht sieht mich die Sonne ja nur vor lautеr Regen nicht
Die nächstе Chance liegt schon da vorne hinterm Gegenlicht
Sing' in den schönsten Tönen, dunkle Wolken ziehen schnell
Dahinten wird's schon wieder hell

Ab jetzt ist alles möglich, keine Grenzen mehr
Ich nehme jede Hürde und kriech nicht drunter her
Sag meinem alten Freund, der in Sizilien lebt
Heute ist der Tag, an dem wir uns wiedersehen

Denn vielleicht sieht mich die Sonne ja nur vor lauter Regen nicht
Die nächste Chance liegt schon da vorne hinterm Gegenlicht
Sing' in den schönsten Tönen, dunkle Wolken ziehen schnell
Dahinten wird's schon wieder hell
You might also like
Und vielleicht hör' ich mich selber ja nur vor lauter Regen nicht
Meine Seele will nur Ruhe und kämpft mal wieder gegen mich
Sing' in den schönsten Tönen, dunkle Wolken ziehen schnell
Dahinten wird's schon wieder hell

Und ich geh ein Schritt zurück und atme tief ein
Schau auf das Gute und lass es in mein Leben rein
Ich schau' mich um, ich hab, was ich brauch
Und mach die Tür zu all dem Neuen auf

Denn vielleicht sieht mich die Sonne ja nur vor lauter Regen nicht
Die nächste Chance liegt schon da vorne hinterm Gegenlicht
Sing in den schönsten Tönen, dunkle Wolken ziehen schnell
Dahinten wird's schon wieder hell

Und vielleicht hör' ich mich selber ja nur vor lauter Regen nicht
Meine Seele will nur Ruhe und kämpft mal wieder gegen mich
Sing' in den schönsten Tönen, dunkle Wolken ziehen schnell
Dahinten wird's schon –
Dahinten wird's schon wieder hell
Dahinten wird's schon wieder hellEmbed"
Revolverheld,Na ihr wisst schon,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Na ihr wisst schon by Revolverheld (Ft. The Night Game),7267415,"4 ContributorsNa ihr wisst schon Lyrics

Ich trink mir Mut an, auf zu den andern
Wir sind Verbündete im Licht der Straßenlaternen
Bis vorne an der Ecke, wo die ersten einkehren
Die Touristen, wie könn' die wissen
Sie haben's wohl im Lonely Planet gelesen
Bist du nicht in dieser Bar gewesen? Hallo Freunde
Fremde Freunde
Ich kenn da noch 'n Ladеn, da sind noch mehr Leute
Und wеlcher Tag ist eigentlich heute? Los, alle raus
Der letzte Drink geht heut aufs Haus
Geht mal weiter, da hinten hat noch irgendwas offen
Und ich hab da gestern noch 'n alten Kumpel getroffen

Und wir geh'n von Bar zu Bar
Und kommen mit jedem neuen Glas unseren Träumen nah
Heute hier am Tresen: Revolution
Und morgen dann, na, ihr wisst schon
Und wir geh'n von Bar zu Bar
Und kommen mit jedem neuen Drink unseren Träumen nah
Heute hier am Tresen: Revolution
Und morgen dann, na, ihr wisst schon
You might also like
I woke up on my knees
I see that winter's coming
A blast from the keys
It had fallen off the wagon if I'm overseas, right?
I pour a glass of something good
To turn my head off, you know my phone was already dead
And hit me like a thirty-eight, I'm going back to bed

Und wir geh'n von Bar zu Bar
Und kommen mit jedem neuen Glas unseren Träumen nah
Heute hier am Tresen: Revolution
Und morgen dann, na, ihr wisst schon
Und wir geh'n von Bar zu Bar
Und kommen mit jedem neuen Drink unseren Träumen nah
Heute hier am Tresen: Revolution
Und morgen dann, na, ihr wisst schon

Kurze Pause, kurz mal Luft hol'n
Kurz warten auf die Dinge, die ich überhol'
Morgen fängt das Ganze von vorne an
Alles auf Null, alles auf Anfang
Ich muss lachen
Beim Gedanken daran
Von irgendwo kommt jemand schwankend gerannt
Steht wie alle andern voll unter Strom
Und morgen dann
Na, ihr wisst schon
Und wir geh'n von Bar zu Bar
Und kommen mit jedem neuen Glas unseren Träumen nah
Heute hier am Tresen: Revolution
Und morgen dann, na, ihr wisst schon
Und wir geh'n von Bar zu Bar
Und kommen mit jedem neuen Drink unseren Träumen nah
Heute hier am Tresen: Revolution
Und morgen dann, na, ihr wisst schon

(There is no tomorrow, no tomorrow, no tomorrow tonight)
Na, ihr wisst schon
(There is no tomorrow, no tomorrow, no tomorrow tonight)
Na, ihr wisst schonEmbed"
Revolverheld,Es bedeutet mir die Welt,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Es bedeutet mir die Welt by Revolverheld,7267417,"4 ContributorsEs bedeutet mir die Welt Lyrics

Ich bin so oft unterwegs, ICE nach Berlin
Wenn du meine Nummer wählst, hab' ich kein'n Empfang
Hab' so viel in meinem Kopf, ich hab' so viel Ideen
Wenn ich dir davon erzähl', kommt nichts bei dir an

Nehm'n wir uns mit?
Oder lassen wir uns allein hier stehen?

Kannst du mir sagen, was hier eigentlich für dich wichtig ist?
Was du denkst, welcher Weg für uns jetzt richtig ist?
Auch wenn es scheint, ich versteh diese Geschichte nicht
Will ich nicht, dass sie zu Ende ist
Und wеnn wir uns vor dem Schlafen noch sehеn, es bedeutet mir die Welt
Und wenn du mir von dei'm Tag noch erzählst, es bedeutet mir die Welt
Es bedeutet mir die Welt

Du gehst so oft grade aus, ich fahr durch Serpentinen
Wenn du eine Antwort brauchst, bin ich kompliziert
Du hast Tische reserviert, jedes Mal dran geglaubt
Dass es diesmal anders wird und ich hab's versaut
You might also like
Nehm'n wir uns mit?
Oder lassen wir uns allein hier stehen?

Kannst du mir sagen, was hier eigentlich für dich wichtig ist?
Was du denkst, welcher Weg für uns jetzt richtig ist?
Auch wenn es scheint, ich versteh diese Geschichte nicht
Will ich nicht, dass sie zu Ende ist
Und wenn wir uns vor dem Schlafen noch sehen, es bedeutet mir die Welt
Und wenn du mir von dei'm Tag noch erzählst, es bedeutet mir die Welt

Ich bin so oft unterwegs, ICE fährt nach Haus
Wenn du meine Nummer wählst, steh ich vor der TürEmbed"
Revolverheld,Am Steuer eingeschlafen,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Am Steuer eingeschlafen by Revolverheld,7267413,"4 ContributorsAm Steuer eingeschlafen Lyrics

Hab nicht mehr hingesehen, zu viel laufen lassen
Haben den Respekt verloren und nicht drauf aufgepasst
Haben's nur so hingenommen, alles war selbstverständlich
Abgeschaltet und nebensächlich
Wir sind mit Überschall vorbeigeflogen
Nicht richtig zugehört und uns nur angelogen
Die Zügel schleifen lassen, das Klischee erfüllt
Am Ende nur gestritten und uns nur vollgemüllt

Ich bin am Steuеr eingeschlafen
Doch jеtzt bin ich wieder wach
Du musst nicht länger auf mich warten
Ich laufe mit dir durch den Krach

Ich reiß' das Steuer rum und nehm' die Ausfahrt hier
Zu lange Gaspedal, zu wenig hier bei dir
Ich will dich neu entdecken, will bei dir sein
Denn ich mag deine Ecken und bin mit allem fein

Ich bin am Steuer eingeschlafen
Doch jetzt bin ich wieder wach
Du musst nicht länger auf mich warten
Ich laufe mit dir durch den Krach
You might also like
Zu lange Nacht, Sekundenschlaf
Wenn wir den Aufprall fast erwarten
Zu lange Nacht, Sekundenschlaf
Ich bin am Steuer eingeschlafen

Ich bin am Steuer eingeschlafen
Doch jetzt bin ich wieder wach
Du musst nicht länger auf mich warten
Ich laufe mit dir durch den Krach

Zu lange Nacht, Sekundenschlaf
Wenn wir den Aufprall fast erwarten
Zu lange Nacht, Sekundenschlaf
Ich bin am Steuer eingeschlafenEmbed"
Revolverheld,Nicht so wie die,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Nicht so wie die by Revolverheld,7267411,"4 ContributorsNicht so wie die Lyrics

Sind wir wie die, die aufgeben, wenn es hakt
So war'n wir doch nie
Du hast mir das immer wieder gesagt
Du hast so oft deine Taschen gepackt
Doch ich pack' einfach auch
Und wir brechen zusammen auf, Tür auf, Tür zu
Erstmal 'n Wegbier, dann einfach weg hier
Morgens um halb vier

Wir zwei sind schräg und nie grade
Schon so viele Jahre
Vielleicht ist es das grade

Und wenn du denkst, das ist mir alles egal
Sag ich's immer wiеder, einfach nochmal
Wir sind irgendwiе nicht so wie die
Und wenn du denkst, es gibt nur Kopf oder Zahl
Sag ich's immer wieder, einfach nochmal
Wir sind irgendwie nicht so wie die

Nicht so wie die
Nicht so wie die
Nicht so wie die
Wir sind irgendwie nicht so wie die
You might also like
Sind wir wie die, die festhalten an ei'm Plan
Von dem sie nie wussten, wofür er eigentlich war
Wir schalten auf Durchzug
Egal, was sie sagen
Egal, was sie fragen
Egal, was sie raten
Es passt nicht zu uns
Wir malen die Bilder in unsern Farben
Die sie nicht haben

Wir zwei sind schräg und nie grade
Schon so viele Jahre
Vielleicht ist es das grade

Und wenn du denkst, das ist mir alles egal
Sag ich's immer wieder, einfach nochmal
Wir sind irgendwie nicht so wie die
Und wenn du denkst, es gibt nur Kopf oder Zahl
Sag ich's immer wieder, einfach nochmal
Wir sind irgendwie nicht so wie die

Nicht so wie die
Nicht so wie die
Nicht so wie die
Wir sind irgendwie nicht so wie die
Unsre Herzen voll und die Taschen leer
Lieber leicht als schwer
Leben aus dem Bauch
Und welche Fehler wir auch machen
Lass uns einfach drüber lachen

Nicht so wie die
Nicht so wie die, oh
Und wenn du denkst, es gibt nur Kopf oder Zahl
Sag ich's immer wieder, einfach nochmal
Wir sind irgendwie nicht so wie dieEmbed"
Revolverheld,Vom Suchen und Finden,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Vom Suchen und Finden by Revolverheld,7267414,"4 ContributorsVom Suchen und Finden Lyrics

Die Reise war lang
So viel gesehen, noch kam ich nirgendwo an
So viel versucht, gekämpft, tausend Menschen getroffen
Manche verflucht und mit manchen gesoffen
Vieles hab' ich verändert
Bin durchs Leben getaumelt, ohne Geländer
So oft gestrandet, so oft geblendet
Vieles ausprobiert, am Ende sicher gеlandet
Sicher gelandеt

Will nicht mehr suchen, will nur noch finden
Will ankommen und Lieder singen
Will nicht mehr suchen, will nur noch finden
Will tanzen über den Ding'n
Und ich schließe meine Augen
Und lasse einfach los
Will nicht mehr suchen, will nur noch finden
Will tanzen über den Ding'n

Hektik beiseite
Zu lange nach vorn, ich spiele jetzt in die Breite
Viele Geschichten gehört, nur eben nicht meine
Und die Stimme in mir wurde irgendwann leise
Irgendwann leise
You might also like
Will nicht mehr suchen, will nur noch finden
Will ankommen und Lieder singen
Will nicht mehr suchen, will nur noch finden
Will tanzen über den Ding'n
Und ich schließe meine Augen
Und lasse einfach los
Will nicht mehr suchen, will nur noch finden
Will tanzen über den Ding'n

Will nicht mehr suchen, will nur noch finden
Will ankommen und Lieder singen
Will nicht mehr suchen, will nur noch finden
Will tanzen über den Ding'nEmbed"
Revolverheld,Keine Zeit,"October 7, 2021",de,"{'unreviewed_annotations': 0, 'hot': False}","{'year': 2021, 'month': 10, 'day': 7}",Keine Zeit by Revolverheld,7267409,"4 ContributorsKeine Zeit Lyrics

Mein Telefon vibriert, hab's seit Tagen ignoriert
Keine Zeit, keine Zeit
Die Steuern machen fühlig, nur heut ist leider schwierig
Keine Zeit, keine Zeit
Die Arbeit schreit nach mir, ich komm' nicht mehr hinterher
Keine Zeit, keine Zeit
Dann auch noch alle Bücher lesеn, das schaff' ich nie im Leben
Kеine Zeit, keine Zeit
Ich würd es wirklich gerne schaffen, aber

Es tut mir so leid, leid, leid
Aber ich hab' keine Zeit, Zeit, Zeit
Es tut mir so leid, leid, leid
Aber ich hab' keine Zeit, Zeit, Zeit, nein

Mein Therapeut sagt: „Zehn Minuten jeden Tag“
Keine Zeit (Keine Zeit), keine Zeit (Keine Zeit)
Ins Fitnessstudio gehen, zu meiner Midlife-Crisis steh'n
Keine Zeit (Keine Zeit), keine Zeit (Keine Zeit)
Kochen statt bestellen ist nicht so meine Welt
Keine Zeit (Keine Zeit), keine Zeit
You might also like
Es tut mir so leid, leid, leid
Aber ich hab' keine Zeit, Zeit, Zeit
Es tut mir so leid, leid, leid
Aber ich hab' keine Zeit, Zeit, Zeit, nein

Ich bin erschlagen von der Summe der Teilchen
Ich häng' mich nur noch auf an Kleinigkeiten
Meine To-Do-Liste wird niemals reichen
Deswegen werd' ich sie einfach zerreißen

Es tut mir so leid
Aber ich hab' keine Zeit
Es tut mir so leid
Aber ich hab' keine Zeit

Es tut mir so leid, leid, leid
Aber ich hab' keine Zeit, Zeit, Zeit
Es tut mir so leid, leid, leid
Aber ich hab' keine Zeit, Zeit, Zeit, neinEmbed"
