genre,interpret,album,release_year,songtitle,decade,song_id,full_title,release_date_components_raw,release_date_for_display,stats_raw,lyrics
Schlager,Wolfgang Petry,Kein Grund zur Panik,2003,Irgendwie und irgendwann,2000,409534,None,"{'year': 2014, 'month': 4, 'day': 19}","April 19, 2014","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 28889}",None
Pop,PUR,Wünsche,2009,Frau Schneider,2000,712186,Frau Schneider by Pur,,,"{'unreviewed_annotations': 0, 'hot': False}","Frau Schneider Lyrics
Einmal im Monat Montagnachmittags
Da kommt es zum Showdown
Am Halmabrett
Die Spieler gehen konzentriert zu Werke
Hab meine Gegnerin die ersten Male
Gründlich unterschätzt
Gedächtnisschwäche, doch
Gerissenheit ist ihre Stärke
Demenznachmittag in der
Diakoniestation
Dass sie vor jedem Zug fragt
Welche Farbe sie hat
Ist doch der, der glatte Hohn
Frau Schneider, erkennt mich heute wieder nicht
Frau Schneider, grinst mich an
Frau Schneider fragt mich aber ungeniert
Sind sie der, der gegen mich beim Halma verliert ?

Manchmal vergisst sie wo sie ist
Und wo sie hin will, wo sie war
Doch wie Gewinnen geht
Das weiss sie offenbar noch ganz genau
Sie singt die alten Lieder, lacht
Dass man sich ansteckt und sie mag
Doch das ist alles Taktik
Sie ist nämlich ziemlich schlau
Kurz nicht aufgepasst schon
Ist mein nächster Zug verstellt
Auch wenn sie vieles vergisst
Vergisst sie doch nicht
Mir zu zeigen, wie ihr das gefällt


Einmal hab ich sie auch besiegt
Seither weiss ich
Dass mir viel mehr
An ihrer Freude liegt
Also vergessen wir das! Hey
Also vergessen wir – was?You might also likeEmbed"
Rap,Kay One,Prince Of Belvedair,2012,Auf Mich!,2010,68041,Auf Mich! by Kay One,"{'year': 2012, 'month': 3, 'day': 2}","March 2, 2012","{'unreviewed_annotations': 0, 'hot': False}","Auf Mich! Lyrics
Ich sprech' einen Trost aus
Auf mich und meine Hits und auf all mein Geld
Warum mich alle lieben? Ich bin halt ich selbst
Ein Playboy ein Badboy so unerreicht
Ich untertreib wenn ich sag ich bin die Nummer 1
Ich trink auf meinen Erfolg und auf all mein Geld
Warum mich alle lieben? Ich bin halt ich selbst
Ein Playboy ein Badboy so unerreicht
Champus auf Eis dazu Hummerfleisch
Ich erinner mich an damals an die ersten Rhymes
Die ersten Lines
Verdammt, das war die schwerste Zeit
Kein Deal, mein Ziel wars berühmt zu sein
Sechs Liter Veuve Clicquot, und ich gieß' ihn ein
Ich zünd' die Kippe an und erzähle euch jetzt
Wie das damals war mit dem Deutschrap
Ich hatte keine, keine Perspektiven
Aufstehen? Nein! Ich bleibe lieber liegen
Die Lehrer waren mit mir keineswegs zufrieden
Der Coole von der Schule, die Weiber, die mich liebten
Ich wollte freestylen, Text schreiben keine Lust
Ich fuhr wie B-Rabbit rum, ganz allein im Bus
12:30 Schluss, ich schwänz den Nachmittagsunterricht
Jugendhaus, paar Rapper unter sich
Keiner konnte damals ahnen was aus Kenneth wird
Ein Star, der sich in die Menge stürzt


Ich komm aus Ravensburg, 'ner Kleinstadt im Süden
Und dachte schon als Kind, es wird Zeit dass die Typen
Aus den Großstädten sehen was die Provinzler so können
Doch sie wollten es dem Prinz noch nicht gönnen
Tapes abgegeben, CDs abgegeben
Heute lass' ich es aus der Moët Flasche regnen
Es war ein steinharter Weg nach oben
Wie oft lag ich auf dem Boden
Ja ich sage danke meiner Mutter, meinem Vater
Meinen beiden Brüdern, der ganzen Abou Chakers
Ari und Bushido ich trage euch im Herzen
Es wurde wahr dieses Märchen
Heute steh ich hier, stoße auf mich an
Und wenn du willst, signier' ich dir das Poster an der Wand
Das hier geht an alle Leute, die nie an mich geglaubt haben
Was ich jetzt verdiene könnt ihr euch ja ausmalen
You might also likeEmbed"
Rap,Max Herre,Hallo Welt!,2012,Abserviert,2010,89138,Abserviert by Max Herre,"{'year': 2012, 'month': 8, 'day': 24}","August 24, 2012","{'unreviewed_annotations': 24, 'hot': False, 'pageviews': 6417}","Abserviert Lyrics
Ich will dir 'ne Geschichte erzählen
Aus dem Innenleben eines einsamen Texters
Mit 'nem leeren Magen

Es war wohl gegen halb Acht als sich mein Magen meldet
Und wirklich nichts im Haus als das ich mir die Frage stellte
Ich war am Text schreiben, wollt nicht lange weg bleiben
'Nen schneller Teller Nudeln in der nächsten Eckkneipe
Steck 'nen Zwanni ein, die Schlüssel, werf 'nen Pulli über
Und nix wie raus hier aus der Haustür und mal eben rüber
Zu meinem Lieblingsitaliener im Kiez
Ciao bella, como stai?, tutto a posto d'esi?
Ich setz mich an 'nen Ecktisch der für Zwei gedeckt ist
Der Laden ist am Brummen und das Treiben hektisch
Heb die Hand zum Bestellen, die Kleine entdeckt mich
Die Schönheit der Welt vereint auf Einmetersechzig
Jetzt tritt sie an meinen Tisch als lief sie roten Teppich
Ich frag sie ob sie neu sei und sie lächelt neckisch
Mund, Augen rund und dann betont in 'ner Blue Jeans wie
Ornella Muti trifft die junge Bellucci
Mi Scusi, ich wollt nur wissen was ihr habt
Sie sagt: ""Wart mal ab, ich hab hier was das gibt's nicht à la carte""
Dreht sich um, Popo wackelt und sie dackelt ab
Wirft ihr dickes Haar über die Schulter, Mann, sie macht mich schwach
Kommt zurück, 'n Teller voller Venusmuscheln
Steht am Tresen und ich seh sie mit Kollegin tuscheln
Nach den Muscheln und 'nem vierten Frascati
Merk ich mein kurzer Ausritt wird grad 'ne Party
'Nen halben Liter später glaub ich bin ihr sympathisch
Sie schenkt mir nach und fragt mich: ""Willst du noch Nachtisch?""
Und ich, ich glaub ich muss mal besser nach Haus
Blicke fressen mich auf, sie bringt mir Espresso auf's Haus
Es wird halb Eins, die letzten Gäste sind raus
Halb Zwei, wir schäkern rum, beide bestens gelaunt
Halb Vier, ihr wisst ja Kreuzberger Nächte sind lau
Und die Frau auf Einssechzig einfach prächtig gebaut
Es wurde Sechs und wir erklimmten den Achttausender
Doppelt abgesichert 
Um halb Zehn kam ich mit weichen Knien zu Hause an
Bin erstmal 13 Stunden nicht mehr aufgestanden, ausgebrannt
Glaub mir ich sitz da in der Ecke
Probier meine Pasta Vongole runterzukriegen
Und ich bin einfach sprachlos
Die Frau war irgendwo zwischen
Claudia Carinale und Gina Lollobrigida
Oder Sophia Loren mit 21

Noch bisschen niedergeschlagen
Saß ich gleich wieder im Laden, diesen Abend
Denn wie bekannt ist geht ja Liebe durch den Magen
Und in Gedanken hielt ich sie schon wieder in Armen
Saß stundenlang bis ich es wagte 'ne Bedienung zu fragen
Und da kommt der Wirt zu mir als wollt er mir an den Kragen
Stellt mich zur Rede aber ließ mich nichtmal was sagen
Beugt sich über mich und meint: ""Meine Tochter ist bei Familie
Heute erst geflogen für sechs Wochen nach Sardinien""
Er fragt mich pampig ob ich trotzdem noch was essen mag
Ich bestell 'ne Pasta, er bringt Arrabiata extra-scharf
Mir wird heiß und kalt, ich spül sie mit 'nem Grappa nach
Woher hätt ich wissen können, dass der Wirt ihr Pappa war
Zahl und dackel ab wie 'son begossener Pudel
Was für ein Kuddelmuddel, dabei wollt ich doch bloß Nudeln
Und dieser Strudel an Gefühlen reißt mich mit sich
40 Tage, 40 lange Nächte Verzicht
Komm morgens nicht aus dem Bett, mein Leben ist nicht mehr komplett
Renn nur noch schimpfend durch die Wohnung so als hätt ich Tourette
Starr tagelang die Wände an, streich sie im Kalender an
Mann, irgendwann muss das Warten doch ein Ende haben
Dann kam er wirklich: Tag 42
Ich in meinen feinsten Zwirn, nur keine Zeit verlieren
Der Puls gefühlte 190 kam ich reingestürmt
Vor meinem inneren Auge wie sich unsere Lippen gleich berühren
Da tritt auch schon die Göttin durch die Seitentür - Leerzeichen -
Weil jedes Adjektiv hier untertreiben würd
Sie winkt und zwinkert, verschwindet in der Küche
Kommt zurück, links 'n Weinglas, in der Rechten Meeresfrüchte
Ich spring auf, auf den Lippen nur 'n schüchternes ""Hi""
Die Göttin tippelt vorbei, ich seh den Typ an Tisch Drei
Fall zurück in meinen Sitz und merk wie mir ganz anders wird
Denn hier hat  seinen Ursprung: Abserviert!
You might also like
Glaub mir ich sitz da
Wie bestellt und nicht abgeholt
Leg' das Geld auf dem Tisch und renn aus dem Laden
Und bin völlig durch den Wind
Ich konnt's gar nicht glauben
Die Frau ist mehr Drama als
Anna Magnani in Mamma Roma
Glaub mir
Da fiel mir ein kleines Wortspiel ein
Das geht so:
Mir ging's so mies wie was auf Italienisch Muschel heißt
Folg RapGeniusDeutschland!Embed"
Pop,Clueso,Neuanfang,2016,Lass Sie Reden,2010,2875196,Lass sie reden by Clueso,"{'year': 2016, 'month': 10, 'day': 14}","October 14, 2016","{'unreviewed_annotations': 0, 'hot': False}","Lass sie reden Lyrics
Ich stolper' auf ner neuen Schwelle
Anzutreten auf der Stelle
Um mich ist es oft laut und wild
Kleiner Staat, kleiner Terror
Viele Gerede, Try and error
Der Busch von Trommeln im Wind
Bitte erzähl mir nicht dauernd was vom Eisberg
Das is mein eigenes Schiff
Und ich muss es bewegen
Denn niemand im Leben
Wird mein Leben leben für mich
(bad news, good news)
Wenn sie reden, lass sie reden
Reg dich nicht auf
(bad news, good news, bad news)
Denn im Leben, denn im Leben
Gibts nicht immer Applaus
(bad news, good news)
Heb deine Gedanken, deine Gedanken für dich auf
(bad news, good news, bad news)
Lass sie reden, denn sie reden sich's ein und aus

Warum is in diesen Breitengraden
Alles kleinkariert geraten?
Wichtig, was wer denkt oder sagt
Und sag mir:
Was kann das Holz denn dafür
Wenn es als Geige erwacht?
Bitte erzählt dem Propheten nichts vom Meer
Denn er hat alles im Griff
Ich muss mich bewegen
Denn niemand im Leben
Wird mein Leben so leben wie ich

(bad news, good news)
Wenn sie reden, lass sie reden
Reg dich nicht auf
(bad news, good news, bad news)
Denn im Leben, denn im Leben
Gibts nicht immer Applaus
(bad news, good news)
Heb deine Gedanken, deine Gedanken für dich auf
(bad news, good news, bad news)
Lass sie reden, denn sie reden sich's ein und aus
You might also like
Auf den Straßen ist was los
Gewäsch, Gerede und Gefasel
Doch es entstehen kaum legenden
Ohne Geschwätz, Geschwafel
Es gibt Menschen, die lieber reden anstatt zu handeln
'N Haufen Ochsen, die jede noch so kleine Idee zertrampeln
Ich bin am machen, üben
Lass sie reden, lach dadrüber
Denn meine kleine Welt is voller Pläne, stets im Wandel
Ich bin nicht rundgeschliffen, glänzend wie Diamanten
Der Beweis, dass man funkeln kann trotz Ecken und Kanten
(bad news, good news)
(bad news, good news, bad news)

(bad news, good news)
Wenn sie reden, lass sie reden
Reg dich nicht auf
(bad news, good news, bad news)
Denn für jeden den für jeden
Gibt es auch mal Applaus
(bad news, good news, bad news)
Heb deine Gedanken, deine Gedanken für dich auf
(bad news, good news, bad news)
Lass sie reden, denn sie reden sich's ein und aus
(bad news, good news, bad news)
Lass sie reden, denn sie reden sich's ein und ausEmbed"
Rock,Rammstein,Mutter,2001,Spieluhr,2000,64580,Spieluhr by Rammstein (Ft. Khira Li),"{'year': 2002, 'month': 4, 'day': 2}","April 2, 2002","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 58322}","Spieluhr Lyrics

Ein kleiner Mensch stirbt nur zum Schein
Wollte ganz alleine sein
Das kleine Herz stand still für Stunden
So hat man es für tot befunden
Es wird verscharrt in nassem Sand
Mit einer Spieluhr in der Hand

Der erste Schnee, das Grab bedeckt
Hat ganz sanft das Kind geweckt
In einer kalten Winternacht
Ist das kleine Herz erwacht
Als der Frost ins Kind geflogen
Hat es die Spieluhr aufgezogen
Eine Melodie im Wind
Und aus der Erde singt das Kind
Hoppe, hoppe, Reiter
Und kein Engel steigt herab
Mein Herz schlägt nicht mehr weiter
Nur der Regen weint am Grab
Hoppe, hoppe, Reiter
Eine Melodie im Wind
Mein Herz schlägt nicht mehr weiter
Und aus der Erde singt das Kind

Der kalte Mond in voller Pracht
Hört die Schreie in der Nacht
Und kein Engel steigt herab
Nur der Regen weint am Grab
Zwischen harten Eichendielen
Wird es mit der Spieluhr spielen
Eine Melodie im Wind
Und aus der Erde singt das Kind

Hoppe, hoppe, Reiter
Und kein Engel steigt herab
Mein Herz schlägt nicht mehr weiter
Nur der Regen weint am Grab
Hoppe, hoppe, Reiter
Eine Melodie im Wind
Mein Herz schlägt nicht mehr weiter
Und aus der Erde singt das Kind
Hoppe, hoppe, Reiter
Mein Herz schlägt nicht mehr weiter
You might also like
Am Totensonntag hörten sie
Aus Gottes Acker diese Melodie
Da haben sie es ausgebettet
Das kleine Herz im Kind gerettet

Hoppe, hoppe, Reiter
Eine Melodie im Wind
Mein Herz schlägt nicht mehr weiter
Und aus der Erde singt das Kind
Hoppe, hoppe, Reiter
Und kein Engel steigt herab
Mein Herz schlägt nicht mehr weiter
Nur der Regen weint am Grab
Hoppe, hoppe, Reiter
Eine Melodie im Wind
Mein Herz schlägt nicht mehr weiter
Und aus der Erde singt das Kind2Embed"
Pop,Philipp Poisel,Wo fängt dein Himmel an,2008,Halt mich,2000,695038,Halt mich by Philipp Poisel,,,"{'unreviewed_annotations': 1, 'hot': False}","Halt mich Lyrics
Die Eisenbahn, fährt durch unbekanntes Land
Vorbei an gold'nen Feldern, tiefen Flüssen und zum Strand
Der Vorhang vor dem Fenster - Flattert durchs Abteil
Und ich vermiss dich

Weil du Heimat und
Zuhause bist
Weil bei dir mein Bauchweh aufhört
Halt mich, halt mich fest
Tu so, wie wenn das jetzt für immer so bleibt
Für immer so bleibt
Für immer so bleibt
Für immer so bleibt

Ich brauch kein' Kompass und keinen Sextant
Ich finde stets zu dir
Ich komm zurück, weil ich dich mag
Kopf in deinem Schoß
Wie eine Taube in ihrem Schlag


Sonne in meinen Segeln
Sonne auf meinem Weg
Sonne in den Bäumen
Sonne für dich

Halt mich, halt mich
Halt mich, halt mich fest
You might also likeTu sooo, wie wenn das jetzt für immer so bleibt
Für immer so bleibt, für immer so bleibt
Für immer so bleibt, für immer so bleibt
Für immer so bleibtEmbed"
Rock,Tomte,Du weißt was ich meine,1998,Träume,1990,623302,Träume by Tomte,,,"{'unreviewed_annotations': 0, 'hot': False}","Träume Lyrics
Draußen wird es langsam herbst
Den sommer hab ich mir wohl verscherzt
Es wird sich wieder mal beklagt
Jetzt sitz ich hier und resümier
Dazu gibtt's wahrscheinlich bier
Doch hab ich's nie so hinterfragt:
Was ich wollte, wird nie sein
Die träume bleiben leer und klein
Wann seh' ich das endlich ein?
Und es wäre wirklich schön
Würden sie erst mit mir schlafen gehen
Doch sie sind längst fort, während ich erst gähn

Draußen wird es langsam kalt
Für wärme wird ab jetzt bezahlt
Jetzt sitz ich rum und bleibe stumm
Und ich weiß nicht mal, warum
Doch mir ist jetzt endlich klar
Was ich wollte, wird nie sein
Mein kleines königreich stürzt ein
Am ende bleibst du ganz allein


Jetzt sitz ich hier und resignier
Dazu gibt's wahrscheinlich bier
Scheiße, ich wollte, du wärst hier!
Und es wäre wirklich schön
Könntest du mit mir schlafen gehenYou might also likeEmbed"
Schlager,Wolfgang Petry,Konkret,2000,Diesen Typ kannst Du vergessen,2000,None,None,None,None,None,None
Pop,Clueso,So sehr dabei,2008,Wir wolln Sommer,2000,230653,Wir Wolln Sommer by Clueso,,,"{'unreviewed_annotations': 0, 'hot': False}","Wir Wolln Sommer LyricsNichts ist mehr im Reinen
Und jede Wohnung viel zu klein
Selbst der Nachbar schreit dumpf durch die Tür
Auch ich hab ein wenig Angst vor mir
Die Straße wirkt gereizt
Ein Kind bleibt stehn, fängt an zu weinen
Weil Vater nichts übrig für Scherze hat
Mutter schon lang nicht mehr so herzhaft lacht
Jeder läuft nur stumm vorbei
Auch ohne Kohle wird geheizt
Und nur stumm gegrüßt mit fester Hand
Der Blick schaffts nicht über den Tellerrand
Die Masse wirkt getrennt und schweigt
Alles verzahnte wie verkeilt
Wünsch mir dass die Vögel aus dem Süden komm
Straßen flimmern, blühende Blumen
Uuuuh wir wolln Sommer
Denn es regnet nur und wird nicht warm
Uuuuh wir wolln... shh
Durch die Gegend ziehn genau wie letztes Jahr
Und vor diesem Bild gestreift
Mal ich den Tag an und such Halt
Ich trag die Stühle aus dem Restaurant
Schaff warme Plätze, dass man sitzen kann
Ich mal die graue Wand in weiß
Den Himmel blau und tau das Eis
Ein bisschen Trost
Uuuuuh wir wolln Sommer
Denn es regnet nur und wird nicht warm
Uuuuh wir wollen...
Durch die Gegend ziehn genau wie letztes Jahr
Strassen flimmern, blühende Blumen
Genau wie letztes Jahr
Uuuh wir wolln Sommer
Denn es regent nur und wird nicht warm
Uuuuh wir wolln Sommer
Durch die Gegend ziehn genau wie letztes Jahr
Uuuuh wir wolln Sommer
Uuuuh wir wolln... shh
Genau wie letztes JahrYou might also likeEmbed"
