genre,interpret,album,release_year,songtitle,decade,lyrics
Pop,Adel Tawil,Lieder,2013,Immer da,2010,"Immer da Lyrics[Songtext zu „Immer da“]

[Strophe 1]
Manchmal hast du gar nichts mehr
Nur noch deinen kleinen Traum
Und dann wiegt es Tonnen schwer
Du bist wie Luft ohne Raum
Manchmal geht die Liebe fort
Und es regnet dir ins Herz
Die Welt begräbt dich lebend
Und jeder Atemzug schmerzt
[Pre-Refrain]
Wenn nichts mehr bleibt
Auf das du dich noch verlassen kannst

[Refrain]
Wenn du denkst, dass alles vorbei ist
Ich werde immer da sein
Ich werde immer da sein
Und wenn du glaubst, dass du ganz allein bist
Ich werde immer da sein
Für immer für dich da sein

[Strophe 2]
Manchmal hinterfragst du alles
Hörst damit auch Nachts nicht auf
Sitzt im Treppenhaus und wartest
Denn du traust dich nicht nachhaus'
Manchmal geht die Liebe unter
Und im Sommer wird es kalt
Läufst die Straßen rauf und runter
So wie ein Zug ohne Halt

[Pre-Refrain]
Wenn nichts mehr bleibt
Auf das du dich noch verlassen kannst
You might also like[Refrain]
Wenn du denkst, dass alles vorbei ist
Ich werde immer da sein
Ich werde immer da sein
Und wenn du glaubst, dass du ganz allein bist
Ich werde immer da sein
Für immer für dich da sein

[Bridge]
Ich bin da, wenn du dich verurteilst
Ich bin der, mit dem du die Angst teilst
Ich seh' für dich durch deine Augen
Ich helfe dir an morgen zu glauben

[Refrain]
Wenn du denkst, dass alles vorbei ist
Ich werde immer da sein
Ich werde immer da sein
Und wenn du glaubst, dass du ganz allein bist
Ich werde immer da sein
Für immer für dich da sein
Wenn du denkst, dass alles vorbei ist
Ich werde immer da sein
Ich werde immer da sein
Und wenn du glaubst, dass du ganz allein bist
Ich werde immer da sein
Für immer für dich da sein
[Outro]
Ich werde immer da sein
Für immer für dich da sein

Werd Teil der Rock Genius-Community!Embed"
Pop,Adel Tawil,Lieder,2013,Wenn Du liebst,2010,"Wenn du liebst Lyrics[Strophe 1]
Ganz allein im schwarzen Licht wie hinter Glas
Treibst verschwommen durch den Raum wie im Blindflug
In dein'm Kopf läuft ein Film, den du keinem zeigen willst
Viele Freunde, kein Vertrauen, das muss weh tun
Ich seh' deine Farben, du leuchtest
Ein Stern der ganz alleine fliegt
Du willst es nicht hören, aber dein Herz ist außer Betrieb

[Refrain]
Und das ist für dich, hey
Da ist Sehnsucht in deinem Blick
Ich fühl' was du brauchst
Ist nicht was du kriegst
Kannst dich fallen lassen
Ich halt dich
Bist du dir und allen vergibst
Ich fühl wie das wär
Wenn du liebst
Wenn du liebst
[Strophe 2]
Du schaust mich drei Sekunden an
Und dann wirst du wieder fremd
Rennst zurück in die Nacht, betäubst dich
Ich seh dich tanzen und weinen, ein verlorener Satellit
Du willst es nicht hören, aber dein Herz ist außer Betrieb

[Refrain]
Und das ist für dich, hey
Da ist Sehnsucht in deinem Blick
Ich fühl' was du brauchst
Ist nicht was du kriegst
Kannst dich fallen lassen
Ich halt dich
Bist du dir und allen vergibst
Ich fühl wie das wär
Wenn du liebst
Wenn du liebst

[Bridge]
Ich finde dich, ich finde dich
Wenn du mich suchst, ich finde dich (Weil du was ganz besonderes bist)
Ich finde dich (damit du siehst, wie schön du bist)
Wenn du mich suchst (Weil du was ganz besonderes bist)

[Refrain]
Und das ist für dich, hey
Da ist Sehnsucht in deinem Blick
Ich fühl' was du brauchst
Ist nicht was du kriegst
Kannst dich fallen lassen
Ich halt dich
Bist du dir und allen vergibst
Ich fühl wie das wär
Wenn du liebst
Wenn du liebst (Weil du was ganz besonderes bist)
Wie du liebst (damit du siehst, wie schön du bist)
Ich weiß genau wie das wär (Weil du was ganz besonderes bist)
Wenn du liebst
Wenn du liebst
You might also likeWerd Teil der Rock Genius-Community!1Embed"
Pop,Adel Tawil,Lieder,2013,Lieder,2010,"Lieder Lyrics[Songtext zu „Lieder“]

[Strophe 1]
Ich ging wie ein Ägypter
Hab' mit Tauben geweint
War ein Voodookind
Wie ein rollender Stein
Im Dornenwald sang Maria für mich
Ich starb in deinen Armen, Bochum '84
Ich ließ die Sonne nie untergehen
In meiner wundervollen Welt
[Refrain]
Und ich singe diese Lieder
Tanz' mit Tränen in den Augen
Bowie war für'n Tag mein Held
Und EMF kann es nicht glauben
Und ich steh' im lila Regen
Ich will ein Feuerstarter sein
Whitney wird mich immer lieben
Und Michael lässt mich nicht allein

[Strophe 2]
Ich war willkommen im Dschungel
Und fremd im eigenen Land
Mein persönlicher Jesus
Und im Gehirn total krank
Und ich frage mich, wann
Werd' ich, werd' ich berühmt sein
So wie Rio, mein König für die Ewigkeit?
Ich war am Ende der Straße angelangt
War ein Verlierer, Baby, doch dann
Hielt ich ein Cover in der Hand
Darauf ein Mönch, der in Flammen stand
Kurt Cobain sagte mir, ich soll kommen wie ich bin

[Refrain]
Und ich singe diese Lieder
Tanz' mit Tränen in den Augen
Bowie war für'n Tag mein Held
Und EMF kann es nicht glauben
Und ich steh' im lila Regen
Ich will ein Feuerstarter sein
Whitney wird mich immer lieben
Und Michael lässt mich nicht allein
You might also like[Strophe 3]
Ich war einer von fünf Jungs
„One Minute“ aus, dann war's vorbei
Ich sang nur noch für mich, für 'ne unendlich lange Zeit
Dann traf ich auf sie
Und sie erinnerte mich
Wir waren Welten entfernt
Und doch vom selben Stern

[Bridge]
Ich ging wie ein Ägypter
Hab' mit Tauben geweint
War ein Voodoo-Kind
Wie ein rollender Stein
Ich ließ die Sonne nie untergehen
In meiner wundervollen Welt

[Refrain]
Und jetzt singe ich meine Lieder
Tanz' mit Tränen in den Augen
Bowie war für'n Tag mein Held
Und EMF kann es nicht glauben
Und ich steh' im lila Regen
Ich will ein Feuerstarter sein
Whitney wird mich immer lieben
Und Michael lässt uns nicht allein
[Refrain]
Denn wir singen diese Lieder
Tanzen mit Tränen in den Augen
Bowie war für'n Tag ein Held
Und EMF kann es nicht glauben
Und wir stehen im lila Regen
Wir wollen Feuerstarter sein
Whitney wird uns immer lieben
Und Michael lässt uns nicht allein19Embed"
Pop,Adel Tawil,Lieder,2013,Weinen,2010,"Weinen Lyrics[Songtext zu „Weinen”]

[Strophe 1]
Du warst die ganze Welt für mich
Warst das, was war und das, was ist
Du warst der lebende Beweis, dass es die Liebe gibt
Ich war blind und ich war taub
Und unbelehrbar war ich auch
Ich hatte alles nur für mich gemacht und nicht an dich gedacht

[Refrain]
Willst du unbedingt ein'n Mann vor dir weinen sehen?
Du musst mir glauben, heute kann ich dich verstehen
Bin um die halbe Welt geflogen
Und geh' noch diesen einen Schritt
Ganz egal, was du gemacht hast
Ich will dich einfach nur zurück
[Strophe 2]
Du warst 'ne Göttin für mich
Mein Ticket in das Licht
Du warst der lebende Beweis, dass es für mich noch Liebe gibt
Jetzt hast du ein' neuen Weg gesehen
Den musstest du alleine gehen
Doch das hier ist so viel größer als wir, du gehörst zu mir

[Refrain]
Willst du unbedingt ein'n Mann vor dir weinen sehen?
Du musst mir glauben, heute kann ich dich verstehen
Bin um die halbe Welt geflogen
Und geh' noch diesen einen Schritt
Ganz egal, was du gemacht hast
Ich will dich einfach nur zurück

[Bridge]
Du gehörst zu mir

[Refrain]
Willst du unbedingt ein'n Mann vor dir weinen sehen?
Du musst mir glauben, heute kann ich dich verstehen
Bin um die halbe Welt geflogen
Und geh' noch diesen einen Schritt
Ganz egal, was du gemacht hast
Ich will dich einfach nur zurückYou might also likeEmbed"
Pop,Adel Tawil,Lieder,2013,Unter Wasser,2010,"Unter Wasser Lyrics[Songtext zu „Unter Wasser“]

[Strophe 1]
Keine Chance, es ist viel zu tief
Keine Chance, es geht alles schief
Ich sinke, ich sinke
Allein im Nichts und schwerelos
Dieses Blau ist viel zu groß
Ich sinke, ich sinke
Was mal erreichbar schien erst jetzt so fern
Der Abwärtsdruck legt sich auf mein Herz
Für mich ist es schon kurz vor vorbei
Doch dein Sauerstoff reicht für uns zwei
[Refrain]
Mit dir kann ich unter Wasser überleben
Nur du holst mich langsam wieder rauf
Ich weiß, mit dir kann ich unter Wasser überleben
Und ich fühle wie du in meine Angst eintauchst
Hol mich wieder rauf, hol mich wieder rauf
Hol mich wieder rauf zu dir

[Strophe 2]
Keine Chance, es ist viel zu spät
Keine Chance, wenn die Liebe fehlt
Ich sinke, ich sinke
Viel zu viel, ich werd' verrückt
Ich schwimm' durch nichts, ich brauche dich
Ich sinke, ich sinke
Was ist passiert, ich lieg' am Grund
Und schneid' mir die Haut an den Korallen wund
Für mich ist es schon kurz vor vorbei
Doch dein Sauerstoff reicht für uns zwei

[Refrain]
Mit dir kann ich unter Wasser überleben
Nur du holst mich langsam wieder rauf
Ich weiß, mit dir kann ich unter Wasser überleben
Und ich fühle wie du in meine Angst eintauchst
Hol mich wieder rauf, hol mich wieder rauf
Hol mich wieder rauf zu dir
Hol mich wieder rauf, hol mich langsam wieder rauf
Hol mich wieder rauf zu dir
You might also like[Refrain]
Mit dir kann ich unter Wasser überleben
Nur du holst mich langsam wieder rauf
Ich weiß, mit dir kann ich unter Wasser überleben
Und ich fühle wie du in meine Angst eintauchst
Hol mich wieder rauf, hol mich wieder rauf
Hol mich wieder rauf zu dir
Hol mich wieder rauf, hol mich langsam wieder rauf
Hol mich wieder rauf zu dir

Werd Teil der Rock Genius-Community!Embed"
Pop,Adel Tawil,Lieder,2013,Kartenhaus,2010,"Kartenhaus Lyrics[Songtext zu „Kartenhaus“]

[Strophe 1]
Du schaust mich an, so endlos tief
Und ich seh's in deinen Augen
Die Worte gehen, die Stille bleibt
Ich halt dich fest solang ich kann
Aber keiner hält die Zeiger an
Denn man ist niemals bereit
Ich will, dass das für immer bleibt
Ich will, dass das für immer bleibt
[Refrain]
Doch dieser Moment ist wie 'n Kartenhaus
Und die Zeit zieht ihre Karten raus
Wir schauen zu wie sie zu Boden fallen
Wie sie zu Boden fallen
Dieser Moment ist wie 'n Kartenhaus
Und die Zeit zieht ihre Karten raus
Ich heb sie auf und halt sie fest
Damit mein Herz dich nicht vergisst

[Strophe 2]
Ich seh den Glanz in deinen Tränen
Und das was uns verbindet
Ist so viel mehr als wir verstehen
Die Zeit vergeht und zieht uns fort
Doch ich will an keinen anderen Ort
Denn man ist niemals soweit
Ich will, dass das für immer bleibt
Ich will, dass du für immer bleibst

[Refrain]
Doch dieser Moment ist wie 'n Kartenhaus
Und die Zeit zieht ihre Karten raus
Wir schauen zu wie sie zu Boden fallen
Wie sie zu Boden fallen
Dieser Moment ist wie 'n Kartenhaus
Und die Zeit zieht ihre Karten raus
Ich heb sie auf und halt sie fest
Damit mein Herz dich nicht vergisst
You might also like[Bridge]
Ich fühl was du fühlst in dieser Sekunde
Halt dein Licht an meins, die Strahlen treffen sich
Ich bleib wo du bist, lass dich nie mehr alleine
Halt dich an mir fest

[Refrain]
Doch dieser Moment ist wie 'n Kartenhaus
Und die Zeit zieht ihre Karten raus
Wir schauen zu wie sie zu Boden fallen
Wie sie zu Boden fallen
Dieser Moment ist wie 'n Kartenhaus
Und die Zeit zieht ihre Karten raus
Ich heb sie auf und halt sie fest
Damit mein Herz dich nicht vergisst

[Outro]
Damit mein Herz dich nie vergisst

Werd Teil der Rock Genius-Community!1Embed"
Pop,Adel Tawil,Lieder,2013,Aschenflug,2010,"Aschenflug Lyrics[Songtext zu „Aschenflug“ ft. Prinz Pi, Sido]

[Strophe 1: Prinz Pi, Sido]
Ey Kumpel, noch beim letzten Mal, da war in deinen Augen Glanz
Doch - nach all den Nächten da, seh'n sie aus wie ausgestanzt
Fast dein halbes Leben lang, sitzt du nur an Theken dran
Feierst deine Nächte durch mit allem, was man kriegen kann
Wohnst in deinem Niemandsland, immer schon, in letzter Zeit
Lässt du keinen rein, bleibst daheim, extrabreit
Hältst dich an jedem Glas fest wie an einem Ast
Ich hab nur eine Angst: Dass du keine hast
Ist mir egal, ich weiß am besten, was mich glücklich macht
Lückenhaft Ich verlier' ein Stück jede verrückte Nacht
Doch - alles gut, sieh mich an, ich nehm', was ich kriegen kann
Ich fang zu fliegen an und die Fantasie geht an, Realität geht aus
Und das was gescheh'n ist auch
Vielleicht tut es mir nicht gut, aber ich nehm's in Kauf
Ich leb mich aus, bis mir mein Körper sagt, ich hab genug
Da ist mal wieder Blut in meinem Taschentuch
[Hook: Adel Tawil]
Du bist auf deinem Aschenflug
Hinter dir brennt alles nieder
Du bist auf deinem Aschenflug
Hinter dir brennt alles ab
Du weißt du kriegst nie genug
Solange bis niemand mehr da ist
Du bist auf deinem Aschenflug
Bis zum allerletzten Tag
An dem keiner mehr nach dir fragt

[Strophe 2: Prinz Pi, Sido]
Beeil' dich mal, bisschen weiter, dann ist vorbei, Digga
Nein, Digga, hau ma' ab, mich interessiert der Scheiß' nich' ma
Komm wir geh'n, der Club ist lahm
Ey, guck dich an, du kannst doch schon nicht mehr grade gucken, Mann
Lass mal bisschen runterkommen
Ach i-wo, weiter geht's, der Postmann bringt noch ein Paket
Hauptsache, dass sich dein Kopfkarussell weiter dreht
Ehrlich ma, jeder hier sieht, dass es dir scheiße geht
Ich hab all das, wovon diese Rockstars reden, live erlebt, Kein Problem, doch, Alter, dein Problem ist mein Problem
Hör ma auf so freizudreh'n, hör auf, all den Scheiß zu nehmen
Egal Mann, ich mach weiter bis mein Körper sagt: Ich hab genug
Bald ist der Affe tot, Klappe zu

[Hook: Adel Tawil]
Du bist auf deinem Aschenflug
Hinter dir brennt alles nieder
Du bist auf deinem Aschenflug
Hinter dir brennt alles ab
Du weißt du kriegst nie genug
Solange bis niemand mehr da ist
Du bist auf deinem Aschenflug
Bis zum allerletzten Tag
An dem keiner mehr nach dir fragt
You might also like[Bridge: Adel Tawil]
Du brennst, so hell
Und du brennst immer heller
Du fällst so schnell
Und du fällst immer schneller

[Hook: Adel Tawil]
Du bist auf deinem Aschenflug
Hinter dir brennt alles nieder
Du bist auf deinem Aschenflug
Hinter dir brennt alles ab
Du weißt du kriegst nie genug
Solange bis niemand mehr da ist
Du bist auf deinem Aschenflug
Bis zum allerletzten Tag
An dem keiner mehr nach dir fragt7Embed"
Pop,Adel Tawil,Lieder,2013,Zuhause,2010,"Zuhause Lyrics[Songtext zu „Zuhause” ft. Matisyahu]

[Strophe 1: Adel Tawil, Matisyahu]
Glaub mir irgendwann wird die Liebe regieren
Wir haben nichts mehr zu verlieren
Die Zeit lässt die Wunden heilen
Du bist genau wie ich und nicht allein
Ich bin nah bei dir, gemeinsam schaffen wir Großes hier
Das Spiel der Spiele steht bereit
Schalt alles in dir ein, es ist soweit
Ruthless, they want my heart tonight
Imma a run these lines ‘til my insides shine
And I find some peace of mind, yeah-yeah
Ruthless, they want my heart tonight
Imma a run these lines ‘til my insides shine
And I find some peace of mind
[Refrain: Adel Tawil]
Komm wir bring' die Welt zum Leuchten
Egal woher du kommst
Zu Hause ist da wo deine Freunde sind
Hier ist die Liebe umsonst

[Strophe 2: Matisyahu, Adel Tawil]
Feel my mighty blow, let those clouds lay low
As I land with my feet on the ground and go go go
My destiny I need to know
Chasing dreams which way will the wind blow?
Watching days but I can’t let go
Just want to watch your kingdom grow
No one thing as I run up rainbows
My pain grows, only the insane know how to dance on the moon as the wolf cry moans
In the middle of the darkness I found my zone
You, my love, are never alone, even when you’re so very far away from home
Zeig mir, wie lange wir noch hier stehen
Bis wir endlich so weit sind, dass wir uns in die Augen sehen
Zeig mir, dass es anders geht
Lass uns zusammen singen bis uns die Welt zu Füßen liegt

[Refrain: Adel Tawil]
Komm wir bring' die Welt zum Leuchten
Egal woher du kommst
Zu Hause ist da wo deine Freunde sind
Hier ist die Liebe umsonst
You might also like[Bridge: Adel Tawil, Matisyahu]
Ich weiß genau, dass alles besser werden kann
Wenn ich ganz fest dran glaub, dann schaff ich es irgendwann
All of my life I've been running from the knife
Under the gun I know I got this life

[Refrain 2: Adel Tawil]
Komm wir bring' die Welt zum Leuchten
Egal woher du kommst
Zu Hause ist da wo deine Freunde sind
Hier ist die Liebe umsonst
Zu Hause ist da wo deine Freunde sind
Zu Hause ist da wo deine Freunde sind3Embed"
Pop,Adel Tawil,Lieder,2013,Herzschrittmacher,2010,"Herzschrittmacher Lyrics[Songtext zu „Herzschrittmacher“]

[Strophe 1]
Wir liegen glücklich auf Häuserdächern
Trinken Sekt aus Pappbechern
Du erzählst mir vom letzten Jahr
Und wie der Sommer in Kairo war
Ich hör zu, Augen geschlossen
Nie ein' Moment, zu sehr genossen
Alles dreht sich viel zu schnell
Grauer Häuser, graue Welt
Du bist das, was mich am Leben hält
[Refrain]
Ohne dich könnt ich all das nicht tragen
Ohne dich hört mein Herz auf zu schlagen
Du machst mich wach und wacher
So wie'n Herzschrittmacher
Ohne dich hört mein Herz auf zu schlagen
Ohne dich hätt ich so viele Fragen
Du machst mich wach und wacher
Du bist mein Herzschrittmacher
Du bist mein Herzschrittmacher

[Strophe 2]
Alles so weit weg in der Ferne
Unter uns Beton über uns die Sterne
Du strahlst mit jedem Wort
Ich will an keinen anderen Ort
Augen zu, ich denk nicht an morgen
Sie sind weg, die Zweifel, die Sorgen
Alles dreht sich viel zu schnell
Müde Augen, müde Welt
Doch du bist das, was mich am Leben hält
(was mich am Leben hält)

[Refrain]
Ohne dich könnt ich all das nicht tragen
Ohne dich hört mein Herz auf zu schlagen
Du machst mich wach und wacher
So wie'n Herzschrittmacher
Ohne dich hört mein Herz auf zu schlagen
Ohne dich hätt ich so viele Fragen
Du machst mich wach und wacher
Du bist mein Herzschrittmacher
Du bist mein Herzschrittmacher
You might also like[Bridge]
Mein Herz schlägt, mein Herz
Mein Herz schlägt, mein Herz
Mein Herz schlägt
Und mein Herz schlägt, mein Herz
Mein Herz schlägt, mein Herz
Mein Herz schlägt

[Refrain]
Ohne dich könnt ich all das nicht tragen
Ohne dich hört mein Herz auf zu schlagen
Du machst mich wach und wacher
So wie'n Herzschrittmacher
Ohne dich hört mein Herz auf zu schlagen
Ohne dich hätt ich so viele Fragen
Du machst mich wach und wacher
Du bist mein Herzschrittmacher
Du bist mein Herzschrittmacher
Du bist mein Herzschrittmacher

Werd Teil der Rock Genius-Community!Embed"
Pop,Adel Tawil,Lieder,2013,Graffiti Love,2010,"Graffiti Love Lyrics[Songtext zu „Graffiti Love“ ft. Humpe]

[Strophe 1: Adel Tawil]
Ich liege wach in meinem Bett, ich kann nicht schlafen
Ich geh noch mal raus, ich denk nur an dich
Ich hab nichts dabei, nur ein wenig Farbe
Ich sprech dich nicht an, die Wände sprechen für mich
Ich schreib deinen Namen rosa auf Beton
Und all die Leute im Zugwaggon
Können jetzt sehen, hier ist jemand total verliebt
In dich, ertrinken im Asphalt und Zement
Mit kalten Blicken, doch ein Herz brennt
In dieser Stadt ist jemand total verliebt in dich
[Refrain: Humpe, Adel Tawil]
Graffiti Love, Graffiti Love
Stille Mauern sagen zu dir: „Ich liebe dich!“
Graffiti Love, Graffiti Love
Stille Mauern sagen zu dir: „Ich liebe dich!“

[Strophe 2: Adel Tawil]
Ich geh jede Nacht raus, ich kann nicht aufhören
Ich verlasse die Stadt, ich fahr durch das Land
Denn egal wo du hingehst, du sollst es sehen können
Egal wo du stehst, an jeder Wand
Ich schreib deinen Namen rosa auf Beton
Und all die Leute im Zugwaggon
Können jetzt sehen, hier ist jemand total verliebt
In dich, ertrinken im Asphalt und Zement
Mit kalten Blicken, doch ein Herz brennt
In dieser Stadt ist jemand total verliebt in dich

[Refrain: Humpe, Adel Tawil]
Graffiti Love, Graffiti Love
Stille Mauern sagen zu dir: „Ich liebe dich!“
Graffiti Love, Graffiti Love
Stille Mauern sagen zu dir: „Ich liebe dich!“

[Post-Refrain: Adel Tawil]
Ich geh jede Nacht raus
Ich liebe dich
Ich geh jede Nacht raus
Ich liebe dich
You might also likeWerd Teil der Rock Genius-Community!Embed"
