,Unnamed: 0,Artist,Artist_ID,Album,Album_ID,Release_Date,Title,Full_Title,Song_ID,Language
7,7,1099,209826,10999,831505,"October 29, 2021",INTRO (10999),INTRO (10999) by King Khalil,7337100,de
8,8,1099,209826,10999,831505,"October 29, 2021",MEINE DUNYA,MEINE DUNYA by King Khalil,7337101,de
9,9,1099,209826,10999,831505,"October 29, 2021",GIB IHM,GIB IHM by King Khalil & AK 33,7337102,de
10,10,1099,209826,10999,831505,"October 29, 2021",10999,10999 by King Khalil,7337103,de
12,12,1099,209826,10999,831505,"October 29, 2021",HIGH FÜR IMMER,HIGH FÜR IMMER by King Khalil & Trippie Boi,7337099,de
13,13,1099,209826,10999,831505,"October 29, 2021",AVENGERS,AVENGERS by King Khalil & Trippie Boi,7337105,de
14,14,1099,209826,10999,831505,"October 29, 2021",WEITER WIE GEWOHNT,WEITER WIE GEWOHNT by King Khalil,7337106,de
15,15,1099,209826,KING KONG,546439,"January 31, 2020",INTRO (KING KONG),INTRO (KING KONG) by King Khalil,5189156,de
16,16,1099,209826,KING KONG,546439,"January 31, 2020",BUNDESWEIT,BUNDESWEIT by King Khalil (Ft. Fler),4532899,de
17,17,1099,209826,KING KONG,546439,"January 31, 2020",KUKU x ALPHA,KUKU x ALPHA by King Khalil (Ft. Kollegah),5189157,de
18,18,1099,209826,KING KONG,546439,"January 31, 2020",Nachts im AMG,Nachts im AMG by King Khalil,4718341,de
19,19,1099,209826,KING KONG,546439,"January 31, 2020",HOLLANDA,HOLLANDA by King Khalil (Ft. Mert),5189158,de
20,20,1099,209826,KING KONG,546439,"January 31, 2020",AHU,AHU by King Khalil,4935218,de
21,21,1099,209826,KING KONG,546439,"January 31, 2020",MOON,MOON by King Khalil & Lil Lano,5109178,de
22,22,1099,209826,KING KONG,546439,"January 31, 2020",REAL LIFE,REAL LIFE by King Khalil (Ft. Edin),4822439,de
23,23,1099,209826,KING KONG,546439,"January 31, 2020",KILLA,KILLA by King Khalil (Ft. 2Ton),5189159,de
24,24,1099,209826,KING KONG,546439,"January 31, 2020",SYSTEM,SYSTEM by King Khalil & Maestro,5056150,de
25,25,1099,209826,KING KONG,546439,"January 31, 2020",ALL BLACK,ALL BLACK by King Khalil (Ft. PA Sports),5189160,de
26,26,1099,209826,KING KONG,546439,"January 31, 2020",VAY VAY,VAY VAY by King Khalil,5189161,de
27,27,1099,209826,KING KONG,546439,"January 31, 2020",KOKAIN,"KOKAIN by King Khalil, Azan & KAY AY",5002266,de
28,28,1099,209826,KING KONG,546439,"January 31, 2020",BABYLON,BABYLON by King Khalil (Ft. Azad),5189162,de
29,29,1099,209826,KING KONG,546439,"January 31, 2020",ALLEIN,ALLEIN by King Khalil (Ft. Mois),5189163,de
30,30,1099,209826,KING KONG,546439,"January 31, 2020",STADA,STADA by King Khalil,5621481,de
31,31,1099,209826,KING KONG EP,595737,"January 31, 2020",MO SALAH FLOW,MO SALAH FLOW by King Khalil,5189192,de
33,33,1099,209826,KING KONG EP,595737,"January 31, 2020",MAKINA,MAKINA by King Khalil (Ft. Sinan-G),5189193,de
34,34,1099,209826,KING KONG EP,595737,"January 31, 2020",GIFTIG,GIFTIG by King Khalil (Ft. Payman),5189194,de
36,36,1099,209826,B-TK,474321,"February 1, 2019",Anzug Lacoste,Anzug Lacoste by King Khalil,4158533,de
37,37,1099,209826,B-TK,474321,"February 1, 2019",Push Push,Push Push by King Khalil,4158534,de
38,38,1099,209826,B-TK,474321,"February 1, 2019",Ring Ring Ring,Ring Ring Ring by King Khalil (Ft. Laruzo),4158535,de
39,39,1099,209826,B-TK,474321,"February 1, 2019",Klick Klick,Klick Klick by King Khalil,4052959,de
40,40,1099,209826,B-TK,474321,"February 1, 2019",Nicht weit,Nicht weit by King Khalil,4158536,de
42,42,1099,209826,B-TK,474321,"February 1, 2019",Kuku Bandit,Kuku Bandit by King Khalil,4158537,de
43,43,1099,209826,B-TK,474321,"February 1, 2019",Eine Fam,Eine Fam by King Khalil (Ft. AP (DEU)),4158538,de
45,45,1099,209826,B-TK,474321,"February 1, 2019",Gib mir dein Para,Gib mir dein Para by King Khalil,4158540,de
47,47,1099,209826,B-TK,474321,"February 1, 2019",Kriminell 2,Kriminell 2 by King Khalil (Ft. Anonym),4158541,de
